record_id,product_id,company_name,vehicle_no,start_date,end_date,required_temp_range,qualified
TR0043,P0043,顺丰冷链物流,鲁U70377,2025-11-16,2025-11-26,0-4℃,true
TR0044,P0044,京东物流,京D12227,2025-09-04,2025-09-27,2-8℃,true
TR0045,P0045,申通快递,闽W28090,2025-11-24,2025-11-28,2-8℃,true
TR0046,P0046,韵达快递,苏O21994,2025-07-12,2025-07-27,常温,true
TR0047,P0047,韵达快递,苏Y58440,2025-07-12,2025-07-26,5-15℃,true
TR0048,P0048,百世快递,川I45316,2025-11-18,2025-11-27,2-8℃,true
TR0049,P0049,京东物流,京V34471,2025-09-02,2025-09-27,常温,true
TR0050,P0050,京东物流,京D97978,2025-09-09,2025-09-27,5-15℃,true
TR0051,P0051,韵达快递,苏T30697,2025-11-18,2025-11-26,5-15℃,true
TR0052,P0052,德邦物流,粤H41009,2025-11-10,2025-11-28,常温,true
TR0053,P0053,极兔速递,鄂C86376,2025-07-24,2025-07-28,0-5℃,true
TR0054,P0054,圆通速递,浙I85458,2025-08-04,2025-08-28,5-15℃,true
TR0055,P0055,圆通速递,浙S64528,2025-11-16,2025-11-28,0-4℃,true
TR0056,P0056,申通快递,闽I56316,2025-08-01,2025-08-28,2-8℃,true
TR0057,P0057,中通快递,沪K48174,2025-07-11,2025-07-28,常温,true
TR0058,P0058,申通快递,闽C46341,2025-09-04,2025-09-28,0-5℃,true
TR0059,P0059,极兔速递,鄂J25160,2025-11-12,2025-11-26,2-8℃,true
TR0060,P0060,顺丰冷链物流,鲁U80470,2025-11-16,2025-11-26,5-15℃,true
TR0061,P0061,圆通速递,浙Z94414,2025-11-16,2025-11-28,常温,true
TR0062,P0062,申通快递,闽Q57122,2025-09-22,2025-09-27,5-15℃,true
TR0063,P0063,圆通速递,浙Y12037,2025-07-21,2025-07-28,0-4℃,true
TR0064,P0064,德邦物流,粤U37641,2025-11-12,2025-11-26,0-4℃,true
TR0065,P0065,京东物流,京U66632,2025-11-22,2025-11-26,5-15℃,true
TR0066,P0066,中通快递,沪F50540,2025-10-21,2025-10-27,5-15℃,true
TR0067,P0067,京东物流,京G92548,2025-08-17,2025-08-27,2-8℃,true
TR0068,P0068,极兔速递,鄂X31843,2025-11-06,2025-11-26,0-4℃,true
TR0069,P0069,百世快递,川U53228,2025-11-09,2025-11-26,5-15℃,true
TR0070,P0070,韵达快递,苏I32597,2025-11-02,2025-11-28,0-5℃,true
TR0071,P0071,德邦物流,粤U16037,2025-09-07,2025-09-28,0-4℃,true
TR0072,P0072,圆通速递,浙C98543,2025-07-20,2025-07-26,2-8℃,true
TR0073,P0073,韵达快递,苏Y14214,2025-09-09,2025-09-27,2-8℃,true
TR0074,P0074,顺丰冷链物流,鲁T37373,2025-11-25,2025-11-27,2-8℃,true
TR0075,P0075,申通快递,闽B75218,2025-11-20,2025-11-28,2-8℃,true
TR0076,P0076,百世快递,川L66164,2025-09-01,2025-09-26,5-15℃,true
TR0077,P0077,极兔速递,鄂M85144,2025-07-17,2025-07-26,常温,true
TR0078,P0078,圆通速递,浙M14816,2025-08-14,2025-08-27,5-15℃,true
TR0079,P0079,京东物流,京M61297,2025-11-09,2025-11-26,5-15℃,true
TR0080,P0080,韵达快递,苏T88709,2025-07-04,2025-07-26,常温,true
TR0081,P0081,极兔速递,鄂N99500,2025-10-05,2025-10-27,0-4℃,true
TR0082,P0082,圆通速递,浙Y99399,2025-09-18,2025-09-28,0-5℃,true
TR0083,P0083,中通快递,沪H15210,2025-08-12,2025-08-28,5-15℃,true
TR0084,P0084,圆通速递,浙F39240,2025-09-02,2025-09-26,2-8℃,true
TR0085,P0085,极兔速递,鄂J37831,2025-08-21,2025-08-27,0-5℃,true
TR0086,P0086,圆通速递,浙U16454,2025-08-15,2025-08-26,2-8℃,true
TR0087,P0087,顺丰冷链物流,鲁B19697,2025-07-12,2025-07-27,5-15℃,true
TR0088,P0088,圆通速递,浙G84189,2025-11-16,2025-11-28,常温,true
TR0089,P0089,韵达快递,苏A42695,2025-08-06,2025-08-26,常温,true
TR0090,P0090,圆通速递,浙J46113,2025-10-06,2025-10-26,5-15℃,true
TR0091,P0091,圆通速递,浙L90184,2025-07-24,2025-07-26,常温,true
TR0092,P0092,申通快递,闽C85462,2025-10-22,2025-10-28,常温,true
TR0093,P0093,百世快递,川R21702,2025-10-14,2025-10-26,常温,true
TR0094,P0094,百世快递,川Y66279,2025-07-01,2025-07-27,0-4℃,true
TR0095,P0095,中通快递,沪K95532,2025-09-09,2025-09-28,0-5℃,true
TR0096,P0096,京东物流,京G67819,2025-10-10,2025-10-28,0-5℃,true
TR0097,P0097,京东物流,京I70620,2025-10-15,2025-10-26,2-8℃,true
TR0098,P0098,顺丰冷链物流,鲁R51389,2025-09-16,2025-09-26,2-8℃,false
TR0099,P0099,申通快递,闽Z19489,2025-08-19,2025-08-27,2-8℃,true
TR0100,P0100,顺丰冷链物流,鲁S46052,2025-09-15,2025-09-27,常温,true
TR0101,P0101,百世快递,川F59631,2025-08-18,2025-08-26,0-4℃,true
TR0102,P0102,中通快递,沪Y64377,2025-09-11,2025-09-26,5-15℃,true
TR0103,P0103,百世快递,川P21105,2025-11-21,2025-11-27,5-15℃,true
TR0104,P0104,中通快递,沪V24836,2025-11-07,2025-11-27,0-5℃,true
TR0105,P0105,京东物流,京Z80963,2025-11-20,2025-11-27,0-4℃,true
TR0106,P0106,中通快递,沪B43186,2025-09-24,2025-09-27,5-15℃,false
TR0107,P0107,极兔速递,鄂P41492,2025-10-09,2025-10-27,5-15℃,true
TR0108,P0108,极兔速递,鄂C96322,2025-08-18,2025-08-27,0-4℃,true
TR0109,P0109,中通快递,沪G91922,2025-08-21,2025-08-28,0-5℃,true
TR0110,P0110,极兔速递,鄂V36078,2025-09-07,2025-09-27,5-15℃,true
TR0111,P0111,顺丰冷链物流,鲁H24443,2025-10-06,2025-10-28,0-5℃,false
TR0112,P0112,德邦物流,粤B52599,2025-08-21,2025-08-27,0-4℃,true
TR0113,P0113,顺丰冷链物流,鲁K69843,2025-10-20,2025-10-28,常温,true
TR0114,P0114,极兔速递,鄂J54510,2025-09-01,2025-09-26,常温,true
TR0115,P0115,德邦物流,粤Z90308,2025-07-13,2025-07-27,2-8℃,true
TR0116,P0116,中通快递,沪X95115,2025-10-11,2025-10-28,常温,true
TR0117,P0117,中通快递,沪S63377,2025-11-07,2025-11-27,0-5℃,true
TR0118,P0118,圆通速递,浙S59274,2025-11-08,2025-11-27,0-5℃,true
TR0119,P0119,圆通速递,浙F29394,2025-07-17,2025-07-28,0-4℃,true
TR0120,P0120,申通快递,闽I45015,2025-08-22,2025-08-28,2-8℃,true
TR0121,P0121,中通快递,沪R22457,2025-07-23,2025-07-27,0-5℃,true
TR0122,P0122,中通快递,沪T21365,2025-11-19,2025-11-27,0-4℃,true
TR0123,P0123,圆通速递,浙J52814,2025-09-25,2025-09-26,0-4℃,true
TR0124,P0124,圆通速递,浙N87390,2025-11-13,2025-11-27,常温,true
TR0125,P0125,韵达快递,苏F34547,2025-10-04,2025-10-26,0-5℃,true
TR0126,P0126,申通快递,闽F59512,2025-07-25,2025-07-28,2-8℃,true
TR0127,P0127,极兔速递,鄂T15343,2025-10-05,2025-10-28,0-4℃,true
TR0128,P0128,韵达快递,苏S73218,2025-10-24,2025-10-26,0-4℃,true
TR0129,P0129,极兔速递,鄂I17459,2025-09-02,2025-09-28,0-4℃,true
TR0130,P0130,德邦物流,粤N32768,2025-10-19,2025-10-27,0-5℃,true
TR0131,P0131,中通快递,沪B95047,2025-10-21,2025-10-27,0-4℃,true
TR0132,P0132,百世快递,川E11484,2025-07-01,2025-07-28,0-5℃,true
TR0133,P0133,圆通速递,浙K78929,2025-08-01,2025-08-26,常温,true
TR0134,P0134,韵达快递,苏H16410,2025-10-21,2025-10-28,5-15℃,true
TR0135,P0135,中通快递,沪A84381,2025-08-09,2025-08-28,0-4℃,true
TR0136,P0136,京东物流,京M63568,2025-09-22,2025-09-28,0-4℃,true
TR0137,P0137,百世快递,川J72411,2025-11-16,2025-11-28,2-8℃,true
TR0138,P0138,百世快递,川X45483,2025-11-17,2025-11-26,0-5℃,true
TR0139,P0139,顺丰冷链物流,鲁E97039,2025-11-22,2025-11-28,2-8℃,true
TR0140,P0140,极兔速递,鄂C68169,2025-10-03,2025-10-26,5-15℃,true
TR0141,P0141,京东物流,京E38751,2025-09-17,2025-09-26,0-5℃,true
TR0142,P0142,顺丰冷链物流,鲁O82812,2025-07-13,2025-07-28,常温,true
TR0143,P0143,申通快递,闽B21316,2025-08-18,2025-08-26,5-15℃,true
TR0144,P0144,中通快递,沪E26396,2025-11-06,2025-11-28,2-8℃,true
TR0145,P0145,中通快递,沪Z68613,2025-07-15,2025-07-27,5-15℃,true
TR0146,P0146,圆通速递,浙U58706,2025-10-04,2025-10-26,0-4℃,true
TR0147,P0147,圆通速递,浙K41636,2025-08-15,2025-08-27,0-4℃,true
TR0148,P0148,百世快递,川U43597,2025-09-08,2025-09-26,2-8℃,true
TR0149,P0149,顺丰冷链物流,鲁C42942,2025-07-23,2025-07-28,常温,true
TR0150,P0150,申通快递,闽Y14338,2025-07-17,2025-07-27,常温,true
TR0151,P0151,圆通速递,浙L97012,2025-11-21,2025-11-26,0-4℃,true
TR0152,P0152,顺丰冷链物流,鲁X72808,2025-10-19,2025-10-28,0-5℃,true
TR0153,P0153,极兔速递,鄂V63543,2025-11-17,2025-11-28,常温,true
TR0154,P0154,韵达快递,苏I27934,2025-09-13,2025-09-27,0-5℃,true
TR0155,P0155,顺丰冷链物流,鲁N17121,2025-07-01,2025-07-26,2-8℃,true
TR0156,P0156,极兔速递,鄂O37957,2025-11-20,2025-11-26,0-4℃,true
TR0157,P0157,申通快递,闽L85044,2025-10-18,2025-10-26,常温,true
TR0158,P0158,韵达快递,苏X73973,2025-07-25,2025-07-27,0-5℃,true
TR0159,P0159,圆通速递,浙I11721,2025-08-15,2025-08-28,0-4℃,false
TR0160,P0160,顺丰冷链物流,鲁Y28712,2025-07-02,2025-07-28,0-5℃,true
TR0161,P0161,百世快递,川E67666,2025-08-23,2025-08-27,5-15℃,true
TR0162,P0162,韵达快递,苏X72689,2025-11-07,2025-11-28,5-15℃,true
TR0163,P0163,百世快递,川E60943,2025-10-11,2025-10-27,2-8℃,true
TR0164,P0164,极兔速递,鄂Q88687,2025-07-22,2025-07-27,5-15℃,true
TR0165,P0165,德邦物流,粤J56525,2025-08-03,2025-08-26,0-4℃,true
TR0166,P0166,圆通速递,浙H88688,2025-08-24,2025-08-26,2-8℃,true
TR0167,P0167,中通快递,沪A74539,2025-08-10,2025-08-27,0-5℃,true
TR0168,P0168,京东物流,京W74700,2025-08-12,2025-08-27,5-15℃,true
TR0169,P0169,德邦物流,粤Y87320,2025-08-13,2025-08-28,常温,true
TR0170,P0170,中通快递,沪B52532,2025-07-11,2025-07-26,0-4℃,true
TR0171,P0171,德邦物流,粤Z71882,2025-09-09,2025-09-27,5-15℃,true
TR0172,P0172,京东物流,京C29722,2025-09-24,2025-09-27,0-5℃,true
TR0173,P0173,申通快递,闽B80409,2025-08-16,2025-08-28,常温,true
TR0174,P0174,韵达快递,苏Y84343,2025-09-21,2025-09-27,5-15℃,true
TR0175,P0175,中通快递,沪E72057,2025-10-19,2025-10-28,0-5℃,true
TR0176,P0176,百世快递,川B87868,2025-10-23,2025-10-28,2-8℃,true
TR0177,P0177,百世快递,川J13190,2025-07-14,2025-07-27,0-4℃,true
TR0178,P0178,德邦物流,粤D81014,2025-07-23,2025-07-27,常温,true
TR0179,P0179,顺丰冷链物流,鲁N45353,2025-08-04,2025-08-28,5-15℃,true
TR0180,P0180,顺丰冷链物流,鲁Y84874,2025-10-17,2025-10-27,2-8℃,true
TR0181,P0181,德邦物流,粤O88469,2025-09-14,2025-09-27,常温,true
TR0182,P0182,京东物流,京N32191,2025-09-13,2025-09-28,5-15℃,true
TR0183,P0183,中通快递,沪L50258,2025-11-11,2025-11-27,0-5℃,true
TR0184,P0184,中通快递,沪D75939,2025-09-11,2025-09-27,常温,true
TR0185,P0185,韵达快递,苏G85557,2025-08-11,2025-08-26,5-15℃,true
TR0186,P0186,圆通速递,浙A28569,2025-10-21,2025-10-26,5-15℃,false
TR0187,P0187,京东物流,京O69196,2025-11-09,2025-11-27,0-5℃,true
TR0188,P0188,德邦物流,粤L32990,2025-11-09,2025-11-26,常温,true
TR0189,P0189,百世快递,川C99433,2025-09-04,2025-09-28,5-15℃,true
TR0190,P0190,百世快递,川P60743,2025-11-13,2025-11-26,0-5℃,true
TR0191,P0191,极兔速递,鄂I93859,2025-10-16,2025-10-26,5-15℃,true
TR0192,P0192,申通快递,闽J54265,2025-08-03,2025-08-27,0-4℃,true
TR0193,P0193,申通快递,闽T85002,2025-11-18,2025-11-27,常温,true
TR0194,P0194,圆通速递,浙X80045,2025-11-08,2025-11-26,5-15℃,true
TR0195,P0195,韵达快递,苏F35672,2025-08-15,2025-08-26,0-4℃,true
TR0196,P0196,德邦物流,粤M34716,2025-07-16,2025-07-26,常温,true
TR0197,P0197,圆通速递,浙W19884,2025-09-19,2025-09-28,0-5℃,true
TR0198,P0198,申通快递,闽Z91534,2025-08-17,2025-08-27,0-5℃,true
TR0199,P0199,京东物流,京E88658,2025-11-04,2025-11-28,0-5℃,true
TR0200,P0200,德邦物流,粤L92774,2025-11-23,2025-11-27,0-4℃,false
TR0201,P0201,韵达快递,苏D22317,2025-11-08,2025-11-28,5-15℃,true
TR0202,P0202,德邦物流,粤K25861,2025-10-03,2025-10-28,5-15℃,true
TR0203,P0203,百世快递,川H50793,2025-09-22,2025-09-26,0-4℃,false
TR0204,P0204,圆通速递,浙J73131,2025-11-16,2025-11-26,2-8℃,true
TR0205,P0205,德邦物流,粤W97508,2025-10-17,2025-10-26,0-4℃,true
TR0206,P0206,百世快递,川H62266,2025-08-21,2025-08-28,2-8℃,true
TR0207,P0207,圆通速递,浙L63023,2025-08-24,2025-08-28,5-15℃,true
TR0208,P0208,圆通速递,浙R46897,2025-10-20,2025-10-27,2-8℃,true
TR0209,P0209,百世快递,川V18726,2025-10-24,2025-10-26,0-5℃,true
TR0210,P0210,德邦物流,粤K31686,2025-11-16,2025-11-26,0-5℃,true
TR0211,P0211,申通快递,闽F71528,2025-07-18,2025-07-27,5-15℃,true
TR0212,P0212,京东物流,京N61293,2025-08-10,2025-08-26,5-15℃,true
TR0213,P0213,德邦物流,粤H56375,2025-07-02,2025-07-28,0-5℃,true
TR0214,P0214,极兔速递,鄂P72890,2025-09-14,2025-09-27,常温,true
TR0215,P0215,圆通速递,浙R93732,2025-08-23,2025-08-27,0-5℃,true
TR0216,P0216,顺丰冷链物流,鲁M52085,2025-07-23,2025-07-26,0-4℃,false
TR0217,P0217,京东物流,京K39138,2025-07-19,2025-07-27,0-5℃,true
TR0218,P0218,顺丰冷链物流,鲁L33821,2025-11-06,2025-11-26,0-5℃,true
TR0219,P0219,圆通速递,浙G98015,2025-09-20,2025-09-26,0-4℃,true
TR0220,P0220,申通快递,闽L39264,2025-07-10,2025-07-26,2-8℃,true
TR0221,P0221,德邦物流,粤B58266,2025-08-23,2025-08-28,常温,true
TR0222,P0222,申通快递,闽N88955,2025-08-11,2025-08-27,0-5℃,true
TR0223,P0223,韵达快递,苏H54023,2025-10-21,2025-10-26,5-15℃,true
TR0224,P0224,中通快递,沪D87457,2025-08-10,2025-08-27,0-5℃,true
TR0225,P0225,中通快递,沪Z27129,2025-10-03,2025-10-28,0-4℃,true
TR0226,P0226,百世快递,川V39600,2025-09-12,2025-09-26,5-15℃,true
TR0227,P0227,圆通速递,浙D39845,2025-10-03,2025-10-26,常温,true
TR0228,P0228,百世快递,川U44869,2025-08-22,2025-08-27,0-5℃,true
TR0229,P0229,圆通速递,浙N15904,2025-07-22,2025-07-26,0-5℃,true
TR0230,P0230,京东物流,京S79132,2025-07-24,2025-07-28,0-4℃,true
TR0231,P0231,极兔速递,鄂Z37777,2025-10-05,2025-10-26,5-15℃,true
TR0232,P0232,极兔速递,鄂S17976,2025-08-03,2025-08-28,5-15℃,true
TR0233,P0233,申通快递,闽B75716,2025-11-14,2025-11-26,2-8℃,true
TR0234,P0234,德邦物流,粤X30192,2025-08-24,2025-08-28,0-5℃,true
TR0235,P0235,韵达快递,苏E83576,2025-11-18,2025-11-27,5-15℃,true
TR0236,P0236,顺丰冷链物流,鲁B79973,2025-10-12,2025-10-26,常温,true
TR0237,P0237,百世快递,川L99259,2025-10-25,2025-10-26,2-8℃,true
TR0238,P0238,京东物流,京N61940,2025-07-14,2025-07-28,5-15℃,true
TR0239,P0239,中通快递,沪Y31506,2025-08-17,2025-08-26,5-15℃,true
TR0240,P0240,申通快递,闽C33566,2025-08-03,2025-08-28,2-8℃,true
TR0241,P0241,顺丰冷链物流,鲁W17623,2025-10-13,2025-10-26,0-5℃,true
TR0242,P0242,百世快递,川V19910,2025-11-07,2025-11-26,5-15℃,true
TR0243,P0243,申通快递,闽V27884,2025-10-25,2025-10-26,2-8℃,true
TR0244,P0244,百世快递,川X80047,2025-10-04,2025-10-28,0-5℃,true
TR0245,P0245,韵达快递,苏H82547,2025-07-05,2025-07-28,0-4℃,true
TR0246,P0246,极兔速递,鄂X30654,2025-09-22,2025-09-26,0-4℃,true
TR0247,P0247,申通快递,闽J54046,2025-07-25,2025-07-27,2-8℃,true
TR0248,P0248,德邦物流,粤D14936,2025-07-11,2025-07-28,2-8℃,false
TR0249,P0249,极兔速递,鄂H38504,2025-08-06,2025-08-26,0-4℃,true
TR0250,P0250,韵达快递,苏S81929,2025-11-20,2025-11-26,0-4℃,true
TR0251,P0251,京东物流,京C67933,2025-11-11,2025-11-26,常温,true
TR0252,P0252,申通快递,闽P34098,2025-08-16,2025-08-27,2-8℃,true
TR0253,P0253,韵达快递,苏O39713,2025-11-08,2025-11-26,5-15℃,true
TR0254,P0254,京东物流,京W24553,2025-08-20,2025-08-26,常温,true
TR0255,P0255,德邦物流,粤T23536,2025-07-01,2025-07-27,0-4℃,true
TR0256,P0256,百世快递,川C10036,2025-10-02,2025-10-27,0-4℃,true
TR0257,P0257,极兔速递,鄂F49002,2025-09-10,2025-09-26,2-8℃,true
TR0258,P0258,顺丰冷链物流,鲁T15995,2025-08-17,2025-08-26,0-4℃,false
TR0259,P0259,百世快递,川Z96243,2025-09-14,2025-09-27,0-5℃,true
TR0260,P0260,百世快递,川T51623,2025-11-15,2025-11-26,0-5℃,true
TR0261,P0261,中通快递,沪K89929,2025-09-12,2025-09-27,常温,true
TR0262,P0262,极兔速递,鄂C56398,2025-09-14,2025-09-28,常温,true
TR0263,P0263,顺丰冷链物流,鲁T89722,2025-10-23,2025-10-27,2-8℃,true
TR0264,P0264,申通快递,闽J11214,2025-07-15,2025-07-27,0-5℃,true
TR0265,P0265,申通快递,闽O90329,2025-07-01,2025-07-27,0-5℃,true
TR0266,P0266,德邦物流,粤B37117,2025-10-03,2025-10-28,常温,true
TR0267,P0267,申通快递,闽G47017,2025-07-10,2025-07-28,0-5℃,true
TR0268,P0268,极兔速递,鄂L20500,2025-08-14,2025-08-26,0-5℃,true
TR0269,P0269,申通快递,闽W10191,2025-10-22,2025-10-27,0-4℃,true
TR0270,P0270,中通快递,沪B35601,2025-07-13,2025-07-28,2-8℃,true
TR0271,P0271,申通快递,闽D31147,2025-11-04,2025-11-28,0-4℃,true
TR0272,P0272,极兔速递,鄂A31454,2025-08-06,2025-08-26,常温,true
TR0273,P0273,圆通速递,浙T77991,2025-07-12,2025-07-27,2-8℃,true
TR0274,P0274,申通快递,闽W16102,2025-09-09,2025-09-28,5-15℃,true
TR0275,P0275,顺丰冷链物流,鲁C67358,2025-11-16,2025-11-26,5-15℃,true
TR0276,P0276,韵达快递,苏B38571,2025-08-06,2025-08-27,2-8℃,true
TR0277,P0277,京东物流,京V98786,2025-07-24,2025-07-27,0-4℃,true
TR0278,P0278,京东物流,京L71284,2025-10-09,2025-10-27,0-4℃,true
TR0279,P0279,韵达快递,苏W66504,2025-07-25,2025-07-27,0-4℃,true
TR0280,P0280,韵达快递,苏O37657,2025-07-24,2025-07-27,常温,true
TR0281,P0281,中通快递,沪E99354,2025-11-14,2025-11-27,常温,true
TR0282,P0282,极兔速递,鄂B24182,2025-09-12,2025-09-27,2-8℃,true
TR0283,P0283,极兔速递,鄂W95991,2025-11-10,2025-11-27,常温,true
TR0284,P0284,德邦物流,粤X27257,2025-08-16,2025-08-26,2-8℃,true
TR0285,P0285,京东物流,京A26536,2025-07-04,2025-07-26,0-4℃,true
TR0286,P0286,京东物流,京V78873,2025-09-19,2025-09-28,2-8℃,true
TR0287,P0287,百世快递,川X38253,2025-08-10,2025-08-26,0-4℃,true
TR0288,P0288,申通快递,闽X56819,2025-10-04,2025-10-28,5-15℃,true
TR0289,P0289,德邦物流,粤E26982,2025-11-07,2025-11-28,5-15℃,true
TR0290,P0290,百世快递,川V14587,2025-07-09,2025-07-27,0-5℃,true
TR0291,P0291,顺丰冷链物流,鲁L65328,2025-08-03,2025-08-27,2-8℃,true
TR0292,P0292,韵达快递,苏O30532,2025-07-21,2025-07-27,0-4℃,true
TR0293,P0293,德邦物流,粤N60559,2025-08-13,2025-08-26,0-5℃,true
TR0294,P0294,圆通速递,浙Q95038,2025-11-14,2025-11-26,2-8℃,true
TR0295,P0295,顺丰冷链物流,鲁N48291,2025-11-22,2025-11-28,2-8℃,true
TR0296,P0296,申通快递,闽E33879,2025-11-14,2025-11-26,0-5℃,true
TR0297,P0297,中通快递,沪R97060,2025-07-18,2025-07-26,5-15℃,true
TR0298,P0298,中通快递,沪R55692,2025-08-21,2025-08-27,2-8℃,true
TR0299,P0299,顺丰冷链物流,鲁P52181,2025-09-11,2025-09-26,0-5℃,true
TR0300,P0300,中通快递,沪X34568,2025-08-02,2025-08-28,常温,true
TR0301,P0301,韵达快递,苏B86307,2025-11-04,2025-11-27,0-4℃,true
TR0302,P0302,中通快递,沪A30318,2025-11-24,2025-11-27,5-15℃,true
TR0303,P0303,京东物流,京Y31825,2025-09-10,2025-09-27,5-15℃,true
TR0304,P0304,极兔速递,鄂K86474,2025-09-07,2025-09-26,2-8℃,false
TR0305,P0305,德邦物流,粤J34153,2025-09-25,2025-09-27,常温,true
TR0306,P0306,圆通速递,浙G35676,2025-09-02,2025-09-26,5-15℃,true
TR0307,P0307,圆通速递,浙T26589,2025-07-04,2025-07-27,0-4℃,true
TR0308,P0308,京东物流,京X46515,2025-10-22,2025-10-28,0-4℃,true
TR0309,P0309,中通快递,沪M98550,2025-11-11,2025-11-28,0-5℃,true
TR0310,P0310,京东物流,京S55227,2025-07-24,2025-07-28,5-15℃,true
TR0311,P0311,百世快递,川O59365,2025-07-09,2025-07-28,0-4℃,true
TR0312,P0312,韵达快递,苏V21008,2025-11-14,2025-11-27,0-4℃,true
TR0313,P0313,极兔速递,鄂X49854,2025-07-02,2025-07-27,常温,true
TR0314,P0314,圆通速递,浙I93333,2025-10-01,2025-10-27,2-8℃,false
TR0315,P0315,德邦物流,粤R22694,2025-09-25,2025-09-26,常温,true
TR0316,P0316,圆通速递,浙B10514,2025-09-01,2025-09-28,2-8℃,true
TR0317,P0317,韵达快递,苏U53898,2025-11-10,2025-11-28,常温,true
TR0318,P0318,极兔速递,鄂S72622,2025-10-17,2025-10-27,5-15℃,true
TR0319,P0319,百世快递,川W60636,2025-09-03,2025-09-28,2-8℃,true
TR0320,P0320,圆通速递,浙R62457,2025-09-21,2025-09-27,2-8℃,true
TR0321,P0321,百世快递,川D17728,2025-10-10,2025-10-28,0-4℃,true
TR0322,P0322,申通快递,闽P60769,2025-10-07,2025-10-28,常温,true
TR0323,P0323,百世快递,川W10862,2025-10-23,2025-10-27,0-5℃,true
TR0324,P0324,韵达快递,苏D91787,2025-07-21,2025-07-28,0-5℃,true
TR0325,P0325,德邦物流,粤Z53003,2025-09-01,2025-09-26,0-4℃,true
TR0326,P0326,极兔速递,鄂Z33089,2025-07-01,2025-07-27,0-5℃,true
TR0327,P0327,中通快递,沪C31941,2025-10-10,2025-10-26,常温,true
