record_id,product_id,factory_name,factory_location,process_date,process_steps,hygiene_score,qualified
PR0102,P0102,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-08-21,打蜡-分级-分拣-切割,100,true
PR0103,P0103,丹东草莓加工厂,辽宁省丹东市,2025-11-17,冷藏-切割,93,true
PR0104,P0104,洛川果业加工中心,陕西省洛川县,2025-08-10,烘干-切割-冷藏-分拣,98,true
PR0105,P0105,赣南脐橙加工中心,江西省赣州市,2025-07-04,分级-冷藏-清洗-分拣,92,true
PR0106,P0106,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-06-03,切割-清洗-包装,97,true
PR0107,P0107,潍坊蔬菜加工厂,山东省潍坊市,2025-10-26,包装-清洗-分级-烘干,95,true
PR0108,P0108,廊坊蔬菜加工中心,河北省廊坊市,2025-07-25,包装-打蜡-烘干-切割,91,true
PR0109,P0109,周口面粉加工厂,河南省周口市,2025-10-22,分拣-分级-冷藏,92,true
PR0110,P0110,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-06-24,打蜡-切割-冷藏-烘干,95,true
PR0111,P0111,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-06-04,打蜡-烘干,94,true
PR0112,P0112,五常大米加工厂,黑龙江省五常市,2025-08-16,分级-打蜡,90,true
PR0113,P0113,洛川果业加工中心,陕西省洛川县,2025-10-17,清洗-分级-包装-打蜡,92,true
PR0114,P0114,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-06-15,分拣-打蜡,92,true
PR0115,P0115,寿光蔬菜加工厂,山东省寿光市,2025-06-04,烘干-切割-分拣,91,true
PR0116,P0116,寿光蔬菜加工厂,山东省寿光市,2025-12-04,切割-清洗-打蜡-分拣,92,true
PR0117,P0117,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-06-18,切割-清洗-冷藏-打蜡,95,true
PR0118,P0118,廊坊蔬菜加工中心,河北省廊坊市,2025-12-09,切割-打蜡-冷藏-烘干,99,true
PR0119,P0119,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-09-23,打蜡-分拣-包装-分级,96,true
PR0120,P0120,潍坊蔬菜加工厂,山东省潍坊市,2025-11-05,包装-分级-烘干,99,true
PR0121,P0121,潍坊蔬菜加工厂,山东省潍坊市,2025-11-10,分级-清洗-分拣,97,true
PR0122,P0122,寿光蔬菜加工厂,山东省寿光市,2025-09-02,切割-分拣-烘干,94,true
PR0123,P0123,廊坊蔬菜加工中心,河北省廊坊市,2025-07-08,烘干-冷藏-清洗-分级,96,true
PR0124,P0124,廊坊蔬菜加工中心,河北省廊坊市,2025-09-04,切割-烘干-分级,96,true
PR0125,P0125,廊坊蔬菜加工中心,河北省廊坊市,2025-07-08,分拣-切割-冷藏-包装,95,true
PR0126,P0126,潍坊蔬菜加工厂,山东省潍坊市,2025-11-03,包装-分拣-冷藏,94,true
PR0127,P0127,五常大米加工厂,黑龙江省五常市,2025-11-28,打蜡-包装-分拣,91,true
PR0128,P0128,周口面粉加工厂,河南省周口市,2025-10-15,分拣-清洗-包装,96,true
PR0129,P0129,潍坊蔬菜加工厂,山东省潍坊市,2025-12-28,打蜡-烘干-清洗-分拣,97,true
PR0130,P0130,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-11-07,烘干-清洗,100,true
PR0131,P0131,丹东草莓加工厂,辽宁省丹东市,2025-08-09,打蜡-清洗,97,true
PR0132,P0132,洛川果业加工中心,陕西省洛川县,2025-10-13,烘干-包装-打蜡-分拣,93,true
PR0133,P0133,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-12-26,分级-烘干-打蜡,82,false
PR0134,P0134,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-09-13,分级-切割-分拣,91,true
PR0135,P0135,赣南脐橙加工中心,江西省赣州市,2025-08-09,烘干-分级,96,true
PR0136,P0136,洛川果业加工中心,陕西省洛川县,2025-07-22,切割-冷藏-清洗,98,true
PR0137,P0137,赣南脐橙加工中心,江西省赣州市,2025-09-09,冷藏-分拣-包装,97,true
PR0138,P0138,廊坊蔬菜加工中心,河北省廊坊市,2025-10-19,切割-包装-烘干,97,true
PR0139,P0139,五常大米加工厂,黑龙江省五常市,2025-09-01,分拣-切割,98,true
PR0140,P0140,周口面粉加工厂,河南省周口市,2025-12-15,烘干-切割,96,true
PR0141,P0141,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-09-04,切割-分拣,91,true
PR0142,P0142,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-07-22,清洗-切割,95,true
PR0143,P0143,潍坊蔬菜加工厂,山东省潍坊市,2025-11-21,清洗-包装-分拣,93,true
PR0144,P0144,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-10-06,包装-冷藏-分拣,94,true
PR0145,P0145,丹东草莓加工厂,辽宁省丹东市,2025-11-11,分拣-清洗,97,true
PR0146,P0146,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-11-02,冷藏-分级-打蜡,96,true
PR0147,P0147,赣南脐橙加工中心,江西省赣州市,2025-12-28,打蜡-清洗,92,true
PR0148,P0148,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-12-20,烘干-打蜡,94,true
PR0149,P0149,寿光蔬菜加工厂,山东省寿光市,2025-08-13,包装-烘干-打蜡-切割,94,true
PR0150,P0150,廊坊蔬菜加工中心,河北省廊坊市,2025-09-17,清洗-打蜡-分级-包装,94,true
PR0151,P0151,五常大米加工厂,黑龙江省五常市,2025-11-13,冷藏-清洗,92,true
PR0152,P0152,五常大米加工厂,黑龙江省五常市,2025-09-07,打蜡-清洗,92,true
PR0153,P0153,廊坊蔬菜加工中心,河北省廊坊市,2025-12-11,分级-打蜡-烘干-冷藏,97,true
PR0154,P0154,廊坊蔬菜加工中心,河北省廊坊市,2025-07-21,切割-分拣-分级-烘干,98,true
PR0155,P0155,洛川果业加工中心,陕西省洛川县,2025-09-17,打蜡-切割,100,true
PR0156,P0156,赣南脐橙加工中心,江西省赣州市,2025-08-07,分级-包装-分拣-清洗,92,true
PR0157,P0157,寿光蔬菜加工厂,山东省寿光市,2025-09-11,清洗-分拣,90,true
PR0158,P0158,寿光蔬菜加工厂,山东省寿光市,2025-09-14,分级-冷藏,91,true
PR0159,P0159,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-10-13,包装-冷藏-切割,96,true
PR0160,P0160,寿光蔬菜加工厂,山东省寿光市,2025-06-17,清洗-打蜡,91,true
PR0161,P0161,潍坊蔬菜加工厂,山东省潍坊市,2025-06-11,分拣-切割,100,true
PR0162,P0162,赣南脐橙加工中心,江西省赣州市,2025-12-28,分拣-冷藏,93,true
PR0163,P0163,周口面粉加工厂,河南省周口市,2025-09-11,分拣-包装,95,true
PR0164,P0164,洛川果业加工中心,陕西省洛川县,2025-07-03,打蜡-冷藏,97,true
PR0165,P0165,周口面粉加工厂,河南省周口市,2025-10-16,包装-烘干,84,false
PR0166,P0166,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-10-26,包装-分级,94,true
PR0167,P0167,丹东草莓加工厂,辽宁省丹东市,2025-07-21,清洗-分级-切割,96,true
PR0168,P0168,周口面粉加工厂,河南省周口市,2025-07-02,分级-分拣-冷藏-清洗,99,true
PR0169,P0169,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-09-15,切割-烘干-打蜡,91,true
PR0170,P0170,寿光蔬菜加工厂,山东省寿光市,2025-12-10,冷藏-打蜡-包装-分级,97,true
PR0171,P0171,廊坊蔬菜加工中心,河北省廊坊市,2025-11-14,打蜡-分拣,93,true
PR0172,P0172,洛川果业加工中心,陕西省洛川县,2025-07-28,清洗-冷藏-打蜡-切割,95,true
PR0173,P0173,洛川果业加工中心,陕西省洛川县,2025-07-21,分级-烘干,100,true
PR0174,P0174,丹东草莓加工厂,辽宁省丹东市,2025-06-10,烘干-切割,98,true
PR0175,P0175,丹东草莓加工厂,辽宁省丹东市,2025-11-16,包装-烘干-切割,91,true
PR0176,P0176,寿光蔬菜加工厂,山东省寿光市,2025-09-03,打蜡-分拣-烘干-清洗,91,true
PR0177,P0177,丹东草莓加工厂,辽宁省丹东市,2025-12-15,打蜡-包装-清洗-烘干,100,true
PR0178,P0178,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-07-10,包装-清洗-分拣-打蜡,93,true
PR0179,P0179,丹东草莓加工厂,辽宁省丹东市,2025-06-09,烘干-分拣-清洗-打蜡,92,true
PR0180,P0180,周口面粉加工厂,河南省周口市,2025-11-22,分级-清洗-切割-烘干,92,true
PR0181,P0181,潍坊蔬菜加工厂,山东省潍坊市,2025-10-20,烘干-切割-包装,93,true
PR0182,P0182,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-07-20,切割-包装-冷藏,93,true
PR0183,P0183,赣南脐橙加工中心,江西省赣州市,2025-06-02,打蜡-清洗,98,true
PR0184,P0184,廊坊蔬菜加工中心,河北省廊坊市,2025-07-05,冷藏-打蜡-包装,100,true
PR0185,P0185,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-08-22,清洗-冷藏,98,true
PR0186,P0186,潍坊蔬菜加工厂,山东省潍坊市,2025-06-14,清洗-分拣-包装-分级,93,true
PR0187,P0187,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-07-02,打蜡-切割-分拣,96,true
PR0188,P0188,周口面粉加工厂,河南省周口市,2025-07-18,烘干-冷藏-打蜡,98,true
PR0189,P0189,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-07-08,清洗-烘干-分拣,97,true
PR0190,P0190,洛川果业加工中心,陕西省洛川县,2025-11-25,包装-清洗-切割,94,true
PR0191,P0191,廊坊蔬菜加工中心,河北省廊坊市,2025-08-24,清洗-切割-冷藏,95,true
PR0192,P0192,丹东草莓加工厂,辽宁省丹东市,2025-09-21,分拣-冷藏,91,true
PR0193,P0193,洛川果业加工中心,陕西省洛川县,2025-09-01,分级-清洗,94,true
PR0194,P0194,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-08-05,打蜡-分拣,87,false
PR0195,P0195,赣南脐橙加工中心,江西省赣州市,2025-10-10,包装-分级-冷藏-切割,98,true
PR0196,P0196,洛川果业加工中心,陕西省洛川县,2025-06-24,清洗-切割,95,true
PR0197,P0197,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-09-13,清洗-烘干-切割,91,true
PR0198,P0198,周口面粉加工厂,河南省周口市,2025-06-01,冷藏-分拣,99,true
PR0199,P0199,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-08-10,打蜡-分拣-清洗-包装,99,true
PR0200,P0200,五常大米加工厂,黑龙江省五常市,2025-06-18,切割-冷藏,95,true
PR0201,P0201,赣南脐橙加工中心,江西省赣州市,2025-11-15,烘干-分级-包装-切割,94,true
PR0202,P0202,丹东草莓加工厂,辽宁省丹东市,2025-11-22,清洗-冷藏-分级,100,true
PR0203,P0203,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-11-08,包装-分级-切割,98,true
PR0204,P0204,寿光蔬菜加工厂,山东省寿光市,2025-08-19,烘干-切割-分级-打蜡,96,true
PR0205,P0205,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-07-18,分级-打蜡-切割,99,true
PR0206,P0206,廊坊蔬菜加工中心,河北省廊坊市,2025-11-26,烘干-打蜡-分级,98,true
PR0207,P0207,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-07-07,包装-烘干-清洗-打蜡,95,true
PR0208,P0208,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-09-24,切割-分级-清洗,95,true
PR0209,P0209,五常大米加工厂,黑龙江省五常市,2025-09-28,分拣-烘干-分级,99,true
PR0210,P0210,周口面粉加工厂,河南省周口市,2025-10-27,打蜡-烘干-分级,98,true
PR0211,P0211,赣南脐橙加工中心,江西省赣州市,2025-10-02,清洗-包装-冷藏-打蜡,89,false
PR0212,P0212,洛川果业加工中心,陕西省洛川县,2025-10-17,分级-冷藏,97,true
PR0213,P0213,周口面粉加工厂,河南省周口市,2025-08-12,打蜡-烘干-切割,96,true
PR0214,P0214,寿光蔬菜加工厂,山东省寿光市,2025-11-27,烘干-分拣,98,true
PR0215,P0215,五常大米加工厂,黑龙江省五常市,2025-12-09,分拣-切割-包装,93,true
PR0216,P0216,潍坊蔬菜加工厂,山东省潍坊市,2025-10-27,打蜡-烘干,94,true
PR0217,P0217,周口面粉加工厂,河南省周口市,2025-08-15,打蜡-清洗,80,false
PR0218,P0218,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-10-11,冷藏-烘干-分级-清洗,98,true
PR0219,P0219,五常大米加工厂,黑龙江省五常市,2025-12-01,烘干-分拣-包装-清洗,93,true
PR0220,P0220,丹东草莓加工厂,辽宁省丹东市,2025-09-25,分拣-切割-分级,84,false
PR0221,P0221,赣南脐橙加工中心,江西省赣州市,2025-09-04,切割-冷藏,91,true
PR0222,P0222,洛川果业加工中心,陕西省洛川县,2025-06-20,打蜡-分级-切割,96,true
PR0223,P0223,丹东草莓加工厂,辽宁省丹东市,2025-12-17,清洗-包装,100,true
PR0224,P0224,潍坊蔬菜加工厂,山东省潍坊市,2025-12-07,分拣-分级-清洗-烘干,96,true
PR0225,P0225,周口面粉加工厂,河南省周口市,2025-06-07,切割-清洗,93,true
PR0226,P0226,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-08-15,切割-冷藏-分级,100,true
PR0227,P0227,赣南脐橙加工中心,江西省赣州市,2025-12-13,切割-分级,97,true
PR0228,P0228,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-12-03,切割-分拣-打蜡-冷藏,96,true
PR0229,P0229,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-10-14,分拣-分级,93,true
PR0230,P0230,丹东草莓加工厂,辽宁省丹东市,2025-11-26,打蜡-冷藏-清洗,99,true
PR0231,P0231,洛川果业加工中心,陕西省洛川县,2025-08-14,清洗-冷藏,98,true
PR0232,P0232,丹东草莓加工厂,辽宁省丹东市,2025-09-17,分拣-冷藏-烘干-分级,90,true
PR0233,P0233,寿光蔬菜加工厂,山东省寿光市,2025-11-13,包装-打蜡,98,true
PR0234,P0234,潍坊蔬菜加工厂,山东省潍坊市,2025-09-17,冷藏-包装-分级-分拣,90,true
PR0235,P0235,五常大米加工厂,黑龙江省五常市,2025-06-07,包装-清洗-打蜡-冷藏,98,true
PR0236,P0236,潍坊蔬菜加工厂,山东省潍坊市,2025-07-18,清洗-烘干-分拣,90,true
PR0237,P0237,潍坊蔬菜加工厂,山东省潍坊市,2025-10-02,分拣-打蜡-包装-切割,97,true
PR0238,P0238,寿光蔬菜加工厂,山东省寿光市,2025-09-26,切割-包装,96,true
PR0239,P0239,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-08-17,分拣-清洗-冷藏,98,true
PR0240,P0240,廊坊蔬菜加工中心,河北省廊坊市,2025-10-11,清洗-烘干-冷藏-分拣,92,true
PR0241,P0241,潍坊蔬菜加工厂,山东省潍坊市,2025-11-04,分拣-切割-包装-冷藏,95,true
PR0242,P0242,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-07-26,烘干-清洗-冷藏-打蜡,93,true
PR0243,P0243,赣南脐橙加工中心,江西省赣州市,2025-11-16,打蜡-冷藏,95,true
PR0244,P0244,廊坊蔬菜加工中心,河北省廊坊市,2025-10-23,包装-清洗,94,true
PR0245,P0245,洛川果业加工中心,陕西省洛川县,2025-10-22,包装-切割,99,true
PR0246,P0246,周口面粉加工厂,河南省周口市,2025-09-16,冷藏-包装-切割-清洗,93,true
PR0247,P0247,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-06-25,包装-打蜡-冷藏,99,true
PR0248,P0248,寿光蔬菜加工厂,山东省寿光市,2025-09-11,冷藏-分拣,95,true
PR0249,P0249,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-09-07,冷藏-分拣-打蜡-包装,95,true
PR0250,P0250,廊坊蔬菜加工中心,河北省廊坊市,2025-07-27,分级-冷藏,93,true
PR0251,P0251,赣南脐橙加工中心,江西省赣州市,2025-11-01,分拣-打蜡-包装,95,true
PR0252,P0252,五常大米加工厂,黑龙江省五常市,2025-12-22,分级-清洗,93,true
PR0253,P0253,寿光蔬菜加工厂,山东省寿光市,2025-11-14,包装-切割-烘干,93,true
PR0254,P0254,潍坊蔬菜加工厂,山东省潍坊市,2025-07-14,清洗-烘干,92,true
PR0255,P0255,洛川果业加工中心,陕西省洛川县,2025-08-16,分拣-切割,98,true
PR0256,P0256,五常大米加工厂,黑龙江省五常市,2025-09-01,包装-烘干-打蜡,97,true
PR0257,P0257,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-11-17,切割-包装-烘干-分拣,99,true
PR0258,P0258,周口面粉加工厂,河南省周口市,2025-09-19,打蜡-冷藏-包装-切割,99,true
PR0259,P0259,寿光蔬菜加工厂,山东省寿光市,2025-08-25,烘干-打蜡,100,true
PR0260,P0260,赣南脐橙加工中心,江西省赣州市,2025-11-15,烘干-分拣-分级,90,true
PR0261,P0261,丹东草莓加工厂,辽宁省丹东市,2025-10-25,切割-烘干-冷藏-打蜡,92,true
