record_id,product_id,pesticide_name,pesticide_type,amount,apply_date,safety_interval,compliant
PS00032,P0030,敌敌畏,杀虫剂,33ml/亩,2025-09-12,21,false
PS00033,P0030,甲基托布津,杀菌剂,59ml/亩,2025-06-20,14,true
PS00034,P0032,苦参碱,生物农药,53ml/亩,2025-09-18,21,true
PS00035,P0036,阿维菌素,生物农药,54ml/亩,2025-04-01,14,true
PS00036,P0036,阿维菌素,生物农药,93ml/亩,2025-05-07,14,true
PS00037,P0039,敌敌畏,杀虫剂,150ml/亩,2025-09-27,7,false
PS00038,P0042,甲胺磷,杀虫剂,141ml/亩,2025-07-18,14,false
PS00039,P0042,甲基托布津,杀菌剂,43ml/亩,2025-08-10,14,true
PS00040,P0043,多菌灵,杀菌剂,103ml/亩,2025-04-20,7,true
PS00041,P0043,苦参碱,生物农药,53ml/亩,2025-09-26,7,true
PS00042,P0045,百菌清,杀菌剂,70ml/亩,2025-09-21,14,true
PS00043,P0045,三唑酮,杀菌剂,140ml/亩,2025-07-12,14,true
PS00044,P0046,甲胺磷,杀虫剂,103ml/亩,2025-04-08,7,false
PS00045,P0046,多菌灵,杀菌剂,122ml/亩,2025-07-08,7,true
PS00046,P0047,代森锰锌,杀菌剂,38ml/亩,2025-08-25,21,true
PS00047,P0047,吡虫啉,杀虫剂,122ml/亩,2025-06-20,14,true
PS00048,P0048,百菌清,杀菌剂,74ml/亩,2025-08-19,14,true
PS00049,P0048,甲基托布津,杀菌剂,62ml/亩,2025-05-19,21,true
PS00050,P0049,代森锰锌,杀菌剂,40ml/亩,2025-07-23,21,true
PS00051,P0049,多菌灵,杀菌剂,50ml/亩,2025-06-15,21,true
PS00052,P0051,甲胺磷,杀虫剂,100ml/亩,2025-04-26,21,false
PS00053,P0053,代森锰锌,杀菌剂,117ml/亩,2025-07-18,14,true
PS00054,P0053,多菌灵,杀菌剂,129ml/亩,2025-04-24,7,true
PS00055,P0055,多菌灵,杀菌剂,97ml/亩,2025-05-11,14,true
PS00056,P0056,百菌清,杀菌剂,150ml/亩,2025-09-08,7,true
PS00057,P0056,吡虫啉,杀虫剂,79ml/亩,2025-07-13,14,true
PS00058,P0057,吡虫啉,杀虫剂,64ml/亩,2025-06-18,14,true
PS00059,P0058,甲基托布津,杀菌剂,56ml/亩,2025-07-12,7,true
PS00060,P0058,吡虫啉,杀虫剂,98ml/亩,2025-08-05,7,true
PS00061,P0059,苦参碱,生物农药,66ml/亩,2025-05-21,14,true
PS00062,P0061,甲基托布津,杀菌剂,78ml/亩,2025-06-24,21,true
PS00063,P0062,三唑酮,杀菌剂,126ml/亩,2025-04-20,7,true
PS00064,P0062,甲胺磷,杀虫剂,75ml/亩,2025-09-18,14,false
PS00065,P0063,多菌灵,杀菌剂,130ml/亩,2025-06-05,7,true
PS00066,P0064,百菌清,杀菌剂,51ml/亩,2025-06-18,7,true
PS00067,P0064,苦参碱,生物农药,69ml/亩,2025-08-09,7,true
PS00068,P0065,甲基托布津,杀菌剂,107ml/亩,2025-05-19,7,true
PS00069,P0066,三唑酮,杀菌剂,92ml/亩,2025-07-02,21,true
PS00070,P0067,三唑酮,杀菌剂,128ml/亩,2025-06-05,14,true
PS00071,P0067,甲胺磷,杀虫剂,77ml/亩,2025-04-22,21,false
PS00072,P0068,三唑酮,杀菌剂,122ml/亩,2025-04-25,7,true
PS00073,P0069,代森锰锌,杀菌剂,58ml/亩,2025-08-17,7,true
PS00074,P0071,吡虫啉,杀虫剂,69ml/亩,2025-04-28,7,true
PS00075,P0071,甲基托布津,杀菌剂,111ml/亩,2025-05-04,7,true
PS00076,P0072,甲胺磷,杀虫剂,129ml/亩,2025-05-17,21,false
PS00077,P0073,苦参碱,生物农药,85ml/亩,2025-05-18,21,true
PS00078,P0075,代森锰锌,杀菌剂,137ml/亩,2025-06-23,14,true
PS00079,P0075,吡虫啉,杀虫剂,135ml/亩,2025-06-24,14,true
PS00080,P0076,敌敌畏,杀虫剂,107ml/亩,2025-06-09,21,false
PS00081,P0076,苦参碱,生物农药,42ml/亩,2025-08-15,7,true
PS00082,P0078,阿维菌素,生物农药,100ml/亩,2025-04-06,7,true
PS00083,P0078,吡虫啉,杀虫剂,55ml/亩,2025-08-01,14,true
PS00084,P0080,三唑酮,杀菌剂,67ml/亩,2025-07-06,14,true
PS00085,P0081,甲基托布津,杀菌剂,42ml/亩,2025-05-17,7,true
PS00086,P0082,甲基托布津,杀菌剂,60ml/亩,2025-09-07,14,true
PS00087,P0083,甲基托布津,杀菌剂,117ml/亩,2025-05-03,7,true
PS00088,P0083,百菌清,杀菌剂,145ml/亩,2025-06-17,21,true
PS00089,P0084,阿维菌素,生物农药,117ml/亩,2025-05-08,21,true
PS00090,P0084,三唑酮,杀菌剂,34ml/亩,2025-06-11,21,true
PS00091,P0085,百菌清,杀菌剂,34ml/亩,2025-09-11,7,true
PS00092,P0087,三唑酮,杀菌剂,105ml/亩,2025-05-18,21,true
PS00093,P0091,百菌清,杀菌剂,48ml/亩,2025-05-11,14,true
PS00094,P0091,苦参碱,生物农药,78ml/亩,2025-08-07,7,true
PS00095,P0093,三唑酮,杀菌剂,64ml/亩,2025-06-21,21,true
PS00096,P0094,甲胺磷,杀虫剂,126ml/亩,2025-08-05,21,false
PS00097,P0094,敌敌畏,杀虫剂,71ml/亩,2025-08-20,7,false
PS00098,P0095,甲基托布津,杀菌剂,72ml/亩,2025-09-03,21,true
PS00099,P0095,代森锰锌,杀菌剂,104ml/亩,2025-07-22,21,true
PS00100,P0096,三唑酮,杀菌剂,127ml/亩,2025-05-08,7,true
PS00101,P0096,三唑酮,杀菌剂,80ml/亩,2025-05-21,7,true
PS00102,P0097,敌敌畏,杀虫剂,96ml/亩,2025-07-15,14,false
PS00103,P0098,敌敌畏,杀虫剂,79ml/亩,2025-08-24,14,false
PS00104,P0101,三唑酮,杀菌剂,34ml/亩,2025-07-15,7,true
PS00105,P0101,代森锰锌,杀菌剂,92ml/亩,2025-04-22,14,false
PS00106,P0102,敌敌畏,杀虫剂,146ml/亩,2025-08-28,14,false
PS00107,P0102,吡虫啉,杀虫剂,91ml/亩,2025-05-09,7,true
PS00108,P0104,苦参碱,生物农药,71ml/亩,2025-09-06,14,true
PS00109,P0104,代森锰锌,杀菌剂,87ml/亩,2025-09-15,7,true
PS00110,P0105,甲基托布津,杀菌剂,33ml/亩,2025-04-19,21,true
PS00111,P0107,苦参碱,生物农药,75ml/亩,2025-04-03,14,true
PS00112,P0108,吡虫啉,杀虫剂,115ml/亩,2025-05-03,14,true
PS00113,P0109,阿维菌素,生物农药,99ml/亩,2025-08-03,21,true
PS00114,P0109,百菌清,杀菌剂,98ml/亩,2025-05-11,7,true
PS00115,P0111,吡虫啉,杀虫剂,32ml/亩,2025-07-27,7,true
PS00116,P0111,代森锰锌,杀菌剂,38ml/亩,2025-05-22,21,true
PS00117,P0112,甲胺磷,杀虫剂,116ml/亩,2025-06-19,21,false
PS00118,P0112,代森锰锌,杀菌剂,125ml/亩,2025-07-10,14,true
PS00119,P0113,甲基托布津,杀菌剂,43ml/亩,2025-04-23,21,true
PS00120,P0115,多菌灵,杀菌剂,130ml/亩,2025-07-09,21,true
PS00121,P0117,甲胺磷,杀虫剂,51ml/亩,2025-05-23,21,false
PS00122,P0121,甲基托布津,杀菌剂,149ml/亩,2025-04-25,7,true
PS00123,P0123,苦参碱,生物农药,34ml/亩,2025-04-17,21,true
PS00124,P0124,代森锰锌,杀菌剂,61ml/亩,2025-04-08,14,true
PS00125,P0124,甲基托布津,杀菌剂,60ml/亩,2025-07-21,21,true
PS00126,P0125,阿维菌素,生物农药,93ml/亩,2025-06-27,21,true
PS00127,P0128,敌敌畏,杀虫剂,30ml/亩,2025-06-11,14,false
PS00128,P0129,吡虫啉,杀虫剂,84ml/亩,2025-05-17,21,true
PS00129,P0131,吡虫啉,杀虫剂,52ml/亩,2025-07-25,21,true
PS00130,P0131,百菌清,杀菌剂,100ml/亩,2025-07-11,21,true
PS00131,P0132,三唑酮,杀菌剂,111ml/亩,2025-05-01,7,true
PS00132,P0132,阿维菌素,生物农药,95ml/亩,2025-04-02,21,true
PS00133,P0133,苦参碱,生物农药,111ml/亩,2025-06-19,7,true
PS00134,P0134,甲胺磷,杀虫剂,92ml/亩,2025-05-01,7,false
PS00135,P0134,百菌清,杀菌剂,67ml/亩,2025-06-15,7,true
PS00136,P0136,代森锰锌,杀菌剂,72ml/亩,2025-04-14,21,true
PS00137,P0136,甲基托布津,杀菌剂,38ml/亩,2025-07-24,14,true
PS00138,P0138,甲基托布津,杀菌剂,135ml/亩,2025-04-05,21,true
PS00139,P0138,代森锰锌,杀菌剂,40ml/亩,2025-05-19,7,true
PS00140,P0139,苦参碱,生物农药,132ml/亩,2025-05-19,21,true
PS00141,P0140,代森锰锌,杀菌剂,129ml/亩,2025-06-10,7,true
PS00142,P0141,敌敌畏,杀虫剂,121ml/亩,2025-07-06,7,false
PS00143,P0142,代森锰锌,杀菌剂,141ml/亩,2025-06-21,7,true
PS00144,P0143,吡虫啉,杀虫剂,149ml/亩,2025-07-26,21,false
PS00145,P0144,代森锰锌,杀菌剂,50ml/亩,2025-05-03,21,true
PS00146,P0144,阿维菌素,生物农药,114ml/亩,2025-07-08,21,true
PS00147,P0147,敌敌畏,杀虫剂,129ml/亩,2025-08-07,14,false
PS00148,P0148,甲基托布津,杀菌剂,143ml/亩,2025-06-09,14,false
PS00149,P0150,三唑酮,杀菌剂,143ml/亩,2025-06-25,21,true
PS00150,P0150,苦参碱,生物农药,146ml/亩,2025-06-04,7,false
PS00151,P0151,阿维菌素,生物农药,114ml/亩,2025-07-03,21,true
PS00152,P0151,三唑酮,杀菌剂,110ml/亩,2025-06-27,7,true
PS00153,P0153,百菌清,杀菌剂,128ml/亩,2025-09-21,21,true
PS00154,P0154,敌敌畏,杀虫剂,81ml/亩,2025-06-25,14,false
PS00155,P0156,多菌灵,杀菌剂,37ml/亩,2025-06-27,14,true
PS00156,P0159,苦参碱,生物农药,37ml/亩,2025-05-03,21,true
PS00157,P0160,甲胺磷,杀虫剂,46ml/亩,2025-07-27,7,false
PS00158,P0161,吡虫啉,杀虫剂,73ml/亩,2025-05-23,14,true
PS00159,P0161,三唑酮,杀菌剂,117ml/亩,2025-05-14,21,true
PS00160,P0162,多菌灵,杀菌剂,61ml/亩,2025-04-03,14,true
PS00161,P0164,多菌灵,杀菌剂,78ml/亩,2025-04-07,7,true
PS00162,P0164,甲基托布津,杀菌剂,52ml/亩,2025-05-14,21,true
PS00163,P0165,敌敌畏,杀虫剂,62ml/亩,2025-05-26,14,false
PS00164,P0168,代森锰锌,杀菌剂,122ml/亩,2025-04-04,7,true
PS00165,P0168,甲胺磷,杀虫剂,91ml/亩,2025-06-03,21,false
PS00166,P0171,敌敌畏,杀虫剂,105ml/亩,2025-07-09,14,false
PS00167,P0174,敌敌畏,杀虫剂,83ml/亩,2025-07-28,7,false
PS00168,P0174,多菌灵,杀菌剂,45ml/亩,2025-07-02,7,true
PS00169,P0175,百菌清,杀菌剂,37ml/亩,2025-04-19,7,true
PS00170,P0176,多菌灵,杀菌剂,88ml/亩,2025-09-09,21,true
PS00171,P0176,甲基托布津,杀菌剂,147ml/亩,2025-09-05,21,true
PS00172,P0180,百菌清,杀菌剂,68ml/亩,2025-07-02,7,true
PS00173,P0180,阿维菌素,生物农药,132ml/亩,2025-06-11,21,true
PS00174,P0181,甲基托布津,杀菌剂,138ml/亩,2025-08-19,21,true
PS00175,P0182,敌敌畏,杀虫剂,44ml/亩,2025-05-11,7,false
PS00176,P0183,代森锰锌,杀菌剂,145ml/亩,2025-06-09,21,true
PS00177,P0183,甲基托布津,杀菌剂,46ml/亩,2025-09-08,21,true
PS00178,P0184,三唑酮,杀菌剂,139ml/亩,2025-05-13,7,true
PS00179,P0184,三唑酮,杀菌剂,77ml/亩,2025-07-15,7,true
PS00180,P0185,阿维菌素,生物农药,118ml/亩,2025-09-17,21,true
PS00181,P0186,阿维菌素,生物农药,50ml/亩,2025-09-19,7,true
PS00182,P0186,敌敌畏,杀虫剂,48ml/亩,2025-09-25,7,false
PS00183,P0187,多菌灵,杀菌剂,57ml/亩,2025-08-23,7,false
PS00184,P0187,代森锰锌,杀菌剂,50ml/亩,2025-07-22,21,true
PS00185,P0188,苦参碱,生物农药,33ml/亩,2025-04-03,7,true
PS00186,P0189,甲胺磷,杀虫剂,73ml/亩,2025-07-09,14,false
PS00187,P0190,代森锰锌,杀菌剂,84ml/亩,2025-06-07,21,true
PS00188,P0190,三唑酮,杀菌剂,110ml/亩,2025-06-20,21,true
PS00189,P0191,多菌灵,杀菌剂,121ml/亩,2025-07-01,7,true
PS00190,P0192,三唑酮,杀菌剂,86ml/亩,2025-06-27,7,true
PS00191,P0192,多菌灵,杀菌剂,133ml/亩,2025-06-23,7,true
PS00192,P0194,三唑酮,杀菌剂,43ml/亩,2025-06-23,21,true
PS00193,P0194,百菌清,杀菌剂,143ml/亩,2025-05-04,21,true
PS00194,P0195,甲胺磷,杀虫剂,150ml/亩,2025-04-22,7,false
PS00195,P0195,阿维菌素,生物农药,95ml/亩,2025-09-10,14,true
PS00196,P0196,百菌清,杀菌剂,137ml/亩,2025-04-03,14,true
PS00197,P0197,吡虫啉,杀虫剂,68ml/亩,2025-06-20,7,true
PS00198,P0197,甲基托布津,杀菌剂,68ml/亩,2025-06-09,14,true
PS00199,P0198,苦参碱,生物农药,133ml/亩,2025-08-22,21,true
PS00200,P0198,代森锰锌,杀菌剂,94ml/亩,2025-05-04,7,true
PS00201,P0199,甲基托布津,杀菌剂,55ml/亩,2025-04-20,7,true
PS00202,P0199,吡虫啉,杀虫剂,70ml/亩,2025-09-20,14,true
PS00203,P0200,甲胺磷,杀虫剂,146ml/亩,2025-07-27,14,false
PS00204,P0201,三唑酮,杀菌剂,43ml/亩,2025-08-08,14,true
PS00205,P0201,三唑酮,杀菌剂,98ml/亩,2025-07-11,21,true
PS00206,P0202,三唑酮,杀菌剂,98ml/亩,2025-08-19,21,true
PS00207,P0203,敌敌畏,杀虫剂,64ml/亩,2025-06-18,14,false
PS00208,P0203,多菌灵,杀菌剂,112ml/亩,2025-08-20,21,true
PS00209,P0204,代森锰锌,杀菌剂,93ml/亩,2025-06-22,7,true
PS00210,P0204,苦参碱,生物农药,33ml/亩,2025-05-05,14,false
PS00211,P0205,多菌灵,杀菌剂,92ml/亩,2025-09-15,21,true
PS00212,P0206,敌敌畏,杀虫剂,54ml/亩,2025-04-28,14,false
PS00213,P0206,代森锰锌,杀菌剂,64ml/亩,2025-04-21,21,true
PS00214,P0207,甲基托布津,杀菌剂,137ml/亩,2025-07-18,21,true
PS00215,P0207,多菌灵,杀菌剂,102ml/亩,2025-07-10,14,true
PS00216,P0208,吡虫啉,杀虫剂,148ml/亩,2025-05-20,7,true
PS00217,P0208,三唑酮,杀菌剂,142ml/亩,2025-08-21,7,true
PS00218,P0209,阿维菌素,生物农药,81ml/亩,2025-04-05,7,true
PS00219,P0209,敌敌畏,杀虫剂,127ml/亩,2025-05-23,7,false
PS00220,P0210,多菌灵,杀菌剂,40ml/亩,2025-09-22,14,true
PS00221,P0210,甲胺磷,杀虫剂,114ml/亩,2025-08-08,7,false
PS00222,P0211,甲胺磷,杀虫剂,41ml/亩,2025-06-25,21,false
PS00223,P0212,百菌清,杀菌剂,92ml/亩,2025-04-26,14,true
PS00224,P0213,多菌灵,杀菌剂,120ml/亩,2025-09-19,21,true
PS00225,P0213,三唑酮,杀菌剂,97ml/亩,2025-05-21,14,true
PS00226,P0214,甲胺磷,杀虫剂,92ml/亩,2025-04-17,21,false
PS00227,P0218,百菌清,杀菌剂,146ml/亩,2025-08-03,7,true
PS00228,P0219,代森锰锌,杀菌剂,52ml/亩,2025-04-04,21,true
PS00229,P0219,吡虫啉,杀虫剂,137ml/亩,2025-05-17,7,true
PS00230,P0220,三唑酮,杀菌剂,135ml/亩,2025-09-25,21,true
PS00231,P0220,阿维菌素,生物农药,47ml/亩,2025-08-03,7,true
PS00232,P0221,敌敌畏,杀虫剂,105ml/亩,2025-06-05,14,false
PS00233,P0223,百菌清,杀菌剂,67ml/亩,2025-06-01,14,true
PS00234,P0223,多菌灵,杀菌剂,113ml/亩,2025-08-03,7,true
PS00235,P0224,代森锰锌,杀菌剂,93ml/亩,2025-09-18,14,true
PS00236,P0224,甲胺磷,杀虫剂,65ml/亩,2025-05-08,7,false
PS00237,P0225,吡虫啉,杀虫剂,77ml/亩,2025-07-15,21,true
PS00238,P0225,甲胺磷,杀虫剂,62ml/亩,2025-04-28,7,false
PS00239,P0228,阿维菌素,生物农药,137ml/亩,2025-08-16,21,true
PS00240,P0230,阿维菌素,生物农药,144ml/亩,2025-08-04,7,true
PS00241,P0231,甲基托布津,杀菌剂,74ml/亩,2025-05-10,14,true
PS00242,P0233,吡虫啉,杀虫剂,50ml/亩,2025-07-19,14,true
PS00243,P0234,代森锰锌,杀菌剂,82ml/亩,2025-04-24,21,true
PS00244,P0234,敌敌畏,杀虫剂,142ml/亩,2025-08-04,14,false
PS00245,P0235,三唑酮,杀菌剂,93ml/亩,2025-07-03,14,true
PS00246,P0237,三唑酮,杀菌剂,46ml/亩,2025-08-03,7,true
PS00247,P0238,甲基托布津,杀菌剂,32ml/亩,2025-05-03,7,true
PS00248,P0239,多菌灵,杀菌剂,46ml/亩,2025-06-22,21,true
PS00249,P0239,三唑酮,杀菌剂,133ml/亩,2025-09-01,14,true
PS00250,P0242,敌敌畏,杀虫剂,88ml/亩,2025-07-14,7,false
PS00251,P0243,阿维菌素,生物农药,47ml/亩,2025-08-20,7,false
PS00252,P0243,吡虫啉,杀虫剂,52ml/亩,2025-06-18,14,true
PS00253,P0244,代森锰锌,杀菌剂,63ml/亩,2025-07-08,21,true
PS00254,P0245,多菌灵,杀菌剂,107ml/亩,2025-06-14,21,true
PS00255,P0247,苦参碱,生物农药,148ml/亩,2025-06-04,14,true
PS00256,P0248,苦参碱,生物农药,128ml/亩,2025-09-17,7,true
PS00257,P0248,阿维菌素,生物农药,129ml/亩,2025-06-13,21,true
PS00258,P0249,多菌灵,杀菌剂,142ml/亩,2025-08-17,21,true
PS00259,P0249,甲基托布津,杀菌剂,62ml/亩,2025-08-14,21,true
PS00260,P0250,三唑酮,杀菌剂,64ml/亩,2025-05-01,14,true
PS00261,P0250,甲基托布津,杀菌剂,66ml/亩,2025-07-10,14,true
PS00262,P0251,甲胺磷,杀虫剂,107ml/亩,2025-08-09,14,false
PS00263,P0252,甲胺磷,杀虫剂,60ml/亩,2025-06-17,7,false
PS00264,P0252,甲基托布津,杀菌剂,33ml/亩,2025-05-28,21,true
PS00265,P0253,百菌清,杀菌剂,44ml/亩,2025-07-09,14,true
PS00266,P0254,三唑酮,杀菌剂,78ml/亩,2025-06-23,14,true
PS00267,P0254,苦参碱,生物农药,145ml/亩,2025-08-25,14,true
PS00268,P0256,苦参碱,生物农药,79ml/亩,2025-04-10,14,true
PS00269,P0256,吡虫啉,杀虫剂,142ml/亩,2025-04-06,7,true
PS00270,P0260,甲基托布津,杀菌剂,136ml/亩,2025-09-15,7,true
PS00271,P0260,百菌清,杀菌剂,65ml/亩,2025-08-26,7,true
PS00272,P0262,敌敌畏,杀虫剂,91ml/亩,2025-09-27,21,false
PS00273,P0263,阿维菌素,生物农药,35ml/亩,2025-06-02,14,true
PS00274,P0265,甲胺磷,杀虫剂,132ml/亩,2025-08-13,7,false
PS00275,P0265,多菌灵,杀菌剂,40ml/亩,2025-07-16,7,true
PS00276,P0266,代森锰锌,杀菌剂,73ml/亩,2025-08-26,7,true
PS00277,P0266,多菌灵,杀菌剂,114ml/亩,2025-09-16,7,true
PS00278,P0267,三唑酮,杀菌剂,138ml/亩,2025-08-24,7,true
PS00279,P0267,百菌清,杀菌剂,133ml/亩,2025-08-04,21,true
PS00280,P0268,阿维菌素,生物农药,78ml/亩,2025-08-24,21,true
PS00281,P0269,苦参碱,生物农药,149ml/亩,2025-08-26,21,false
PS00282,P0270,吡虫啉,杀虫剂,61ml/亩,2025-07-05,14,true
PS00283,P0270,敌敌畏,杀虫剂,127ml/亩,2025-05-12,7,false
PS00284,P0272,甲胺磷,杀虫剂,89ml/亩,2025-04-01,14,false
PS00285,P0275,吡虫啉,杀虫剂,148ml/亩,2025-06-15,21,true
PS00286,P0279,百菌清,杀菌剂,101ml/亩,2025-08-23,21,true
PS00287,P0280,苦参碱,生物农药,138ml/亩,2025-06-05,14,true
PS00288,P0281,阿维菌素,生物农药,32ml/亩,2025-08-03,7,true
PS00289,P0282,三唑酮,杀菌剂,63ml/亩,2025-08-18,7,true
PS00290,P0282,苦参碱,生物农药,131ml/亩,2025-06-01,21,true
PS00291,P0283,甲基托布津,杀菌剂,135ml/亩,2025-06-08,7,true
PS00292,P0283,百菌清,杀菌剂,88ml/亩,2025-06-21,14,true
PS00293,P0284,甲基托布津,杀菌剂,51ml/亩,2025-08-22,21,true
PS00294,P0286,吡虫啉,杀虫剂,102ml/亩,2025-08-28,21,true
PS00295,P0287,代森锰锌,杀菌剂,108ml/亩,2025-07-14,14,false
PS00296,P0287,多菌灵,杀菌剂,116ml/亩,2025-06-28,21,true
PS00297,P0289,敌敌畏,杀虫剂,61ml/亩,2025-06-14,7,false
PS00298,P0289,吡虫啉,杀虫剂,78ml/亩,2025-07-16,21,true
PS00299,P0290,甲胺磷,杀虫剂,69ml/亩,2025-04-25,21,false
PS00300,P0291,甲基托布津,杀菌剂,88ml/亩,2025-08-27,7,true
PS00301,P0294,吡虫啉,杀虫剂,121ml/亩,2025-04-18,14,true
PS00302,P0295,甲胺磷,杀虫剂,101ml/亩,2025-08-20,21,false
PS00303,P0295,吡虫啉,杀虫剂,130ml/亩,2025-05-06,7,true
PS00304,P0298,甲胺磷,杀虫剂,44ml/亩,2025-08-16,14,false
PS00305,P0298,甲胺磷,杀虫剂,146ml/亩,2025-07-11,7,false
PS00306,P0300,吡虫啉,杀虫剂,125ml/亩,2025-04-11,7,true
PS00307,P0301,阿维菌素,生物农药,136ml/亩,2025-06-05,7,true
PS00308,P0303,苦参碱,生物农药,50ml/亩,2025-06-17,14,true
PS00309,P0305,甲胺磷,杀虫剂,86ml/亩,2025-08-14,14,false
PS00310,P0306,百菌清,杀菌剂,89ml/亩,2025-04-21,7,true
PS00311,P0308,百菌清,杀菌剂,47ml/亩,2025-08-04,7,true
PS00312,P0308,甲胺磷,杀虫剂,58ml/亩,2025-06-26,21,false
PS00313,P0309,阿维菌素,生物农药,36ml/亩,2025-06-12,14,true
PS00314,P0309,甲胺磷,杀虫剂,78ml/亩,2025-07-02,7,false
PS00315,P0312,甲胺磷,杀虫剂,61ml/亩,2025-06-12,7,false
PS00316,P0312,苦参碱,生物农药,84ml/亩,2025-09-17,14,true
PS00317,P0314,阿维菌素,生物农药,42ml/亩,2025-08-21,21,true
PS00318,P0314,百菌清,杀菌剂,42ml/亩,2025-07-13,7,true
PS00319,P0315,三唑酮,杀菌剂,114ml/亩,2025-06-18,14,true
PS00320,P0316,多菌灵,杀菌剂,73ml/亩,2025-09-11,14,true
PS00321,P0316,三唑酮,杀菌剂,41ml/亩,2025-06-04,21,true
PS00322,P0318,代森锰锌,杀菌剂,96ml/亩,2025-06-13,7,true
PS00323,P0319,代森锰锌,杀菌剂,145ml/亩,2025-09-24,7,true
PS00324,P0319,多菌灵,杀菌剂,84ml/亩,2025-06-13,14,true
PS00325,P0321,多菌灵,杀菌剂,51ml/亩,2025-09-13,7,true
PS00326,P0321,敌敌畏,杀虫剂,33ml/亩,2025-06-14,14,false
PS00327,P0322,甲基托布津,杀菌剂,102ml/亩,2025-04-15,21,true
PS00328,P0323,甲基托布津,杀菌剂,79ml/亩,2025-06-20,14,true
PS00329,P0327,苦参碱,生物农药,50ml/亩,2025-07-27,7,true
PS00330,P0330,甲胺磷,杀虫剂,147ml/亩,2025-09-11,14,false
PS00331,P0330,敌敌畏,杀虫剂,109ml/亩,2025-06-28,21,false
PS00332,P0332,代森锰锌,杀菌剂,126ml/亩,2025-04-14,14,true
PS00333,P0332,百菌清,杀菌剂,106ml/亩,2025-09-20,14,true
PS00334,P0333,多菌灵,杀菌剂,115ml/亩,2025-08-13,14,true
PS00335,P0334,阿维菌素,生物农药,49ml/亩,2025-04-08,14,true
PS00336,P0334,吡虫啉,杀虫剂,113ml/亩,2025-06-14,7,true
PS00337,P0336,代森锰锌,杀菌剂,130ml/亩,2025-05-27,14,true
PS00338,P0336,敌敌畏,杀虫剂,142ml/亩,2025-07-10,7,false
PS00339,P0338,甲基托布津,杀菌剂,83ml/亩,2025-07-01,14,true
PS00340,P0338,阿维菌素,生物农药,73ml/亩,2025-08-16,21,true
PS00341,P0339,代森锰锌,杀菌剂,61ml/亩,2025-06-20,21,true
PS00342,P0339,吡虫啉,杀虫剂,91ml/亩,2025-07-06,21,true
PS00343,P0340,甲胺磷,杀虫剂,139ml/亩,2025-05-22,14,false
PS00344,P0340,阿维菌素,生物农药,64ml/亩,2025-04-27,7,true
PS00345,P0341,苦参碱,生物农药,135ml/亩,2025-08-14,7,true
PS00346,P0341,苦参碱,生物农药,65ml/亩,2025-08-08,14,true
