record_id,product_id,fertilizer_name,fertilizer_type,amount,apply_date,operator
FR00056,P0027,腐殖酸肥,有机肥料,63kg/亩,2025-07-12,李四
FR00057,P0028,复合肥,化学肥料,60kg/亩,2025-03-25,吴十
FR00058,P0029,生物菌肥,生物肥料,45kg/亩,2025-06-19,陈十二
FR00059,P0030,氮肥,化学肥料,43kg/亩,2025-06-22,王五
FR00060,P0031,生物菌肥,生物肥料,42kg/亩,2025-06-09,张三
FR00061,P0031,氮肥,化学肥料,75kg/亩,2025-04-03,周九
FR00062,P0031,磷肥,化学肥料,45kg/亩,2025-07-18,王五
FR00063,P0032,有机肥,有机肥料,84kg/亩,2025-03-09,孙八
FR00064,P0032,磷肥,化学肥料,30kg/亩,2025-05-15,孙八
FR00065,P0032,钾肥,化学肥料,88kg/亩,2025-03-09,李四
FR00066,P0033,氮肥,化学肥料,75kg/亩,2025-08-14,陈十二
FR00067,P0033,有机肥,有机肥料,37kg/亩,2025-04-22,陈十二
FR00068,P0034,复合肥,化学肥料,40kg/亩,2025-05-06,孙八
FR00069,P0034,叶面肥,化学肥料,42kg/亩,2025-06-22,陈十二
FR00070,P0034,腐殖酸肥,有机肥料,77kg/亩,2025-04-21,孙八
FR00071,P0035,钾肥,化学肥料,94kg/亩,2025-03-04,周九
FR00072,P0035,叶面肥,化学肥料,77kg/亩,2025-05-14,钱七
FR00073,P0036,磷肥,化学肥料,81kg/亩,2025-06-12,周九
FR00074,P0036,磷肥,化学肥料,86kg/亩,2025-05-21,孙八
FR00075,P0036,腐殖酸肥,有机肥料,46kg/亩,2025-03-24,周九
FR00076,P0037,钾肥,化学肥料,84kg/亩,2025-03-07,吴十
FR00077,P0038,氮肥,化学肥料,93kg/亩,2025-05-19,赵六
FR00078,P0039,钾肥,化学肥料,90kg/亩,2025-03-11,钱七
FR00079,P0040,生物菌肥,生物肥料,96kg/亩,2025-06-10,郑十一
FR00080,P0041,有机肥,有机肥料,66kg/亩,2025-08-12,李四
FR00081,P0042,钾肥,化学肥料,78kg/亩,2025-07-09,吴十
FR00082,P0042,钾肥,化学肥料,57kg/亩,2025-08-08,张三
FR00083,P0043,磷肥,化学肥料,89kg/亩,2025-08-18,陈十二
FR00084,P0044,腐殖酸肥,有机肥料,52kg/亩,2025-04-23,李四
FR00085,P0045,钾肥,化学肥料,50kg/亩,2025-03-27,钱七
FR00086,P0046,磷肥,化学肥料,42kg/亩,2025-03-15,李四
FR00087,P0047,叶面肥,化学肥料,59kg/亩,2025-08-23,吴十
FR00088,P0048,有机肥,有机肥料,55kg/亩,2025-08-06,李四
FR00089,P0048,复合肥,化学肥料,66kg/亩,2025-06-16,李四
FR00090,P0048,生物菌肥,生物肥料,49kg/亩,2025-07-09,周九
FR00091,P0049,磷肥,化学肥料,33kg/亩,2025-03-19,李四
FR00092,P0050,氮肥,化学肥料,71kg/亩,2025-06-07,张三
FR00093,P0050,有机肥,有机肥料,56kg/亩,2025-03-25,孙八
FR00094,P0051,有机肥,有机肥料,68kg/亩,2025-06-26,陈十二
FR00095,P0051,磷肥,化学肥料,87kg/亩,2025-06-18,周九
FR00096,P0052,叶面肥,化学肥料,91kg/亩,2025-03-26,李四
FR00097,P0053,磷肥,化学肥料,48kg/亩,2025-06-19,赵六
FR00098,P0054,腐殖酸肥,有机肥料,100kg/亩,2025-03-28,赵六
FR00099,P0054,腐殖酸肥,有机肥料,56kg/亩,2025-03-04,李四
FR00100,P0055,氮肥,化学肥料,61kg/亩,2025-05-08,赵六
FR00101,P0055,有机肥,有机肥料,37kg/亩,2025-03-12,陈十二
FR00102,P0056,氮肥,化学肥料,32kg/亩,2025-04-14,郑十一
FR00103,P0056,磷肥,化学肥料,45kg/亩,2025-08-12,钱七
FR00104,P0057,钾肥,化学肥料,89kg/亩,2025-08-15,郑十一
FR00105,P0057,氮肥,化学肥料,49kg/亩,2025-08-15,周九
FR00106,P0058,生物菌肥,生物肥料,100kg/亩,2025-06-24,孙八
FR00107,P0058,有机肥,有机肥料,63kg/亩,2025-06-25,孙八
FR00108,P0058,有机肥,有机肥料,72kg/亩,2025-08-09,陈十二
FR00109,P0059,腐殖酸肥,有机肥料,74kg/亩,2025-05-24,周九
FR00110,P0059,复合肥,化学肥料,42kg/亩,2025-03-11,赵六
FR00111,P0060,磷肥,化学肥料,73kg/亩,2025-04-04,吴十
FR00112,P0060,有机肥,有机肥料,64kg/亩,2025-05-10,周九
FR00113,P0060,生物菌肥,生物肥料,72kg/亩,2025-08-18,周九
FR00114,P0061,复合肥,化学肥料,64kg/亩,2025-03-17,赵六
FR00115,P0061,磷肥,化学肥料,39kg/亩,2025-04-06,郑十一
FR00116,P0062,复合肥,化学肥料,94kg/亩,2025-06-13,赵六
FR00117,P0063,氮肥,化学肥料,67kg/亩,2025-05-04,郑十一
FR00118,P0063,有机肥,有机肥料,71kg/亩,2025-03-22,赵六
FR00119,P0064,复合肥,化学肥料,51kg/亩,2025-07-23,钱七
FR00120,P0065,腐殖酸肥,有机肥料,32kg/亩,2025-05-03,李四
FR00121,P0066,氮肥,化学肥料,80kg/亩,2025-04-07,张三
FR00122,P0066,叶面肥,化学肥料,41kg/亩,2025-05-13,孙八
FR00123,P0066,腐殖酸肥,有机肥料,92kg/亩,2025-04-14,张三
FR00124,P0067,生物菌肥,生物肥料,30kg/亩,2025-03-27,郑十一
FR00125,P0068,生物菌肥,生物肥料,54kg/亩,2025-04-07,钱七
FR00126,P0068,钾肥,化学肥料,87kg/亩,2025-06-24,郑十一
FR00127,P0069,复合肥,化学肥料,98kg/亩,2025-08-25,王五
FR00128,P0069,氮肥,化学肥料,91kg/亩,2025-07-11,赵六
FR00129,P0070,磷肥,化学肥料,78kg/亩,2025-08-12,吴十
FR00130,P0070,叶面肥,化学肥料,52kg/亩,2025-05-19,吴十
FR00131,P0070,磷肥,化学肥料,45kg/亩,2025-05-14,吴十
FR00132,P0071,氮肥,化学肥料,67kg/亩,2025-07-06,赵六
FR00133,P0071,磷肥,化学肥料,79kg/亩,2025-07-17,王五
FR00134,P0072,氮肥,化学肥料,96kg/亩,2025-07-28,张三
FR00135,P0072,叶面肥,化学肥料,80kg/亩,2025-07-01,李四
FR00136,P0073,磷肥,化学肥料,92kg/亩,2025-06-07,孙八
FR00137,P0073,氮肥,化学肥料,37kg/亩,2025-06-24,钱七
FR00138,P0074,有机肥,有机肥料,66kg/亩,2025-06-09,李四
FR00139,P0075,钾肥,化学肥料,92kg/亩,2025-05-09,周九
FR00140,P0075,复合肥,化学肥料,46kg/亩,2025-04-01,陈十二
FR00141,P0075,有机肥,有机肥料,61kg/亩,2025-04-14,赵六
FR00142,P0076,复合肥,化学肥料,83kg/亩,2025-05-10,赵六
FR00143,P0076,腐殖酸肥,有机肥料,94kg/亩,2025-08-22,赵六
FR00144,P0077,钾肥,化学肥料,76kg/亩,2025-03-26,陈十二
FR00145,P0077,复合肥,化学肥料,59kg/亩,2025-05-06,张三
FR00146,P0078,有机肥,有机肥料,45kg/亩,2025-04-07,张三
FR00147,P0079,生物菌肥,生物肥料,64kg/亩,2025-08-01,张三
FR00148,P0079,复合肥,化学肥料,72kg/亩,2025-08-14,陈十二
FR00149,P0079,复合肥,化学肥料,73kg/亩,2025-08-22,张三
FR00150,P0080,氮肥,化学肥料,80kg/亩,2025-07-27,孙八
FR00151,P0080,钾肥,化学肥料,41kg/亩,2025-08-28,陈十二
FR00152,P0080,生物菌肥,生物肥料,49kg/亩,2025-03-22,郑十一
FR00153,P0081,腐殖酸肥,有机肥料,64kg/亩,2025-04-23,李四
FR00154,P0082,氮肥,化学肥料,64kg/亩,2025-05-06,李四
FR00155,P0082,生物菌肥,生物肥料,55kg/亩,2025-03-18,张三
FR00156,P0082,有机肥,有机肥料,53kg/亩,2025-05-03,钱七
FR00157,P0083,有机肥,有机肥料,59kg/亩,2025-04-03,周九
FR00158,P0083,复合肥,化学肥料,94kg/亩,2025-08-22,陈十二
FR00159,P0084,腐殖酸肥,有机肥料,65kg/亩,2025-03-25,吴十
FR00160,P0085,叶面肥,化学肥料,35kg/亩,2025-08-24,郑十一
FR00161,P0085,钾肥,化学肥料,99kg/亩,2025-07-05,赵六
FR00162,P0086,叶面肥,化学肥料,93kg/亩,2025-03-05,李四
FR00163,P0086,有机肥,有机肥料,49kg/亩,2025-05-15,王五
FR00164,P0086,复合肥,化学肥料,32kg/亩,2025-08-26,吴十
FR00165,P0087,复合肥,化学肥料,65kg/亩,2025-06-05,王五
FR00166,P0087,钾肥,化学肥料,61kg/亩,2025-07-01,张三
FR00167,P0088,磷肥,化学肥料,43kg/亩,2025-04-03,李四
FR00168,P0088,钾肥,化学肥料,47kg/亩,2025-04-20,孙八
FR00169,P0088,复合肥,化学肥料,63kg/亩,2025-04-28,吴十
FR00170,P0089,生物菌肥,生物肥料,89kg/亩,2025-04-01,张三
FR00171,P0090,有机肥,有机肥料,75kg/亩,2025-07-07,张三
FR00172,P0090,叶面肥,化学肥料,43kg/亩,2025-08-12,李四
FR00173,P0091,磷肥,化学肥料,57kg/亩,2025-07-23,周九
FR00174,P0091,生物菌肥,生物肥料,34kg/亩,2025-07-14,郑十一
FR00175,P0091,有机肥,有机肥料,92kg/亩,2025-07-23,郑十一
FR00176,P0092,氮肥,化学肥料,86kg/亩,2025-05-25,吴十
FR00177,P0092,有机肥,有机肥料,75kg/亩,2025-04-24,张三
FR00178,P0093,生物菌肥,生物肥料,68kg/亩,2025-05-16,吴十
FR00179,P0093,磷肥,化学肥料,31kg/亩,2025-06-02,吴十
FR00180,P0094,氮肥,化学肥料,98kg/亩,2025-08-02,孙八
FR00181,P0095,钾肥,化学肥料,86kg/亩,2025-06-20,赵六
FR00182,P0095,腐殖酸肥,有机肥料,38kg/亩,2025-08-28,孙八
FR00183,P0095,有机肥,有机肥料,62kg/亩,2025-06-20,王五
FR00184,P0096,磷肥,化学肥料,50kg/亩,2025-08-01,郑十一
FR00185,P0097,钾肥,化学肥料,37kg/亩,2025-08-07,赵六
FR00186,P0097,复合肥,化学肥料,81kg/亩,2025-08-03,张三
FR00187,P0097,叶面肥,化学肥料,95kg/亩,2025-07-03,周九
FR00188,P0098,叶面肥,化学肥料,52kg/亩,2025-04-12,张三
FR00189,P0099,叶面肥,化学肥料,54kg/亩,2025-04-03,孙八
FR00190,P0100,磷肥,化学肥料,100kg/亩,2025-08-06,赵六
FR00191,P0101,有机肥,有机肥料,53kg/亩,2025-04-26,钱七
FR00192,P0101,生物菌肥,生物肥料,85kg/亩,2025-06-21,吴十
FR00193,P0102,钾肥,化学肥料,96kg/亩,2025-06-15,周九
FR00194,P0103,复合肥,化学肥料,63kg/亩,2025-06-02,吴十
FR00195,P0103,腐殖酸肥,有机肥料,31kg/亩,2025-04-03,王五
FR00196,P0103,叶面肥,化学肥料,75kg/亩,2025-06-17,张三
FR00197,P0104,氮肥,化学肥料,67kg/亩,2025-06-19,钱七
FR00198,P0104,氮肥,化学肥料,99kg/亩,2025-05-02,吴十
FR00199,P0104,腐殖酸肥,有机肥料,77kg/亩,2025-05-12,孙八
FR00200,P0105,生物菌肥,生物肥料,88kg/亩,2025-08-06,王五
FR00201,P0105,磷肥,化学肥料,62kg/亩,2025-05-28,王五
FR00202,P0106,生物菌肥,生物肥料,74kg/亩,2025-05-20,王五
FR00203,P0106,氮肥,化学肥料,40kg/亩,2025-04-08,周九
FR00204,P0106,有机肥,有机肥料,58kg/亩,2025-08-09,孙八
FR00205,P0107,钾肥,化学肥料,57kg/亩,2025-06-02,周九
FR00206,P0107,生物菌肥,生物肥料,73kg/亩,2025-08-20,吴十
FR00207,P0107,磷肥,化学肥料,85kg/亩,2025-06-06,王五
FR00208,P0108,复合肥,化学肥料,78kg/亩,2025-06-13,张三
FR00209,P0108,生物菌肥,生物肥料,67kg/亩,2025-04-18,钱七
FR00210,P0108,复合肥,化学肥料,93kg/亩,2025-03-28,吴十
FR00211,P0109,生物菌肥,生物肥料,33kg/亩,2025-04-16,钱七
FR00212,P0110,叶面肥,化学肥料,56kg/亩,2025-03-06,陈十二
FR00213,P0110,磷肥,化学肥料,78kg/亩,2025-07-17,李四
FR00214,P0110,复合肥,化学肥料,67kg/亩,2025-03-23,赵六
FR00215,P0111,腐殖酸肥,有机肥料,30kg/亩,2025-05-09,孙八
FR00216,P0111,叶面肥,化学肥料,70kg/亩,2025-03-03,周九
FR00217,P0111,氮肥,化学肥料,74kg/亩,2025-06-10,周九
FR00218,P0112,腐殖酸肥,有机肥料,83kg/亩,2025-03-04,王五
FR00219,P0113,氮肥,化学肥料,78kg/亩,2025-07-10,赵六
FR00220,P0114,有机肥,有机肥料,44kg/亩,2025-05-17,赵六
FR00221,P0114,有机肥,有机肥料,37kg/亩,2025-03-17,李四
FR00222,P0115,叶面肥,化学肥料,34kg/亩,2025-03-27,陈十二
FR00223,P0116,生物菌肥,生物肥料,55kg/亩,2025-08-15,张三
FR00224,P0117,生物菌肥,生物肥料,62kg/亩,2025-06-06,吴十
FR00225,P0117,氮肥,化学肥料,80kg/亩,2025-07-17,吴十
FR00226,P0117,复合肥,化学肥料,31kg/亩,2025-03-16,李四
FR00227,P0118,腐殖酸肥,有机肥料,71kg/亩,2025-07-10,孙八
FR00228,P0119,钾肥,化学肥料,83kg/亩,2025-06-24,陈十二
FR00229,P0119,磷肥,化学肥料,66kg/亩,2025-03-08,周九
FR00230,P0119,腐殖酸肥,有机肥料,87kg/亩,2025-04-24,周九
FR00231,P0120,磷肥,化学肥料,44kg/亩,2025-04-08,赵六
FR00232,P0121,氮肥,化学肥料,80kg/亩,2025-03-14,钱七
FR00233,P0121,生物菌肥,生物肥料,36kg/亩,2025-05-05,钱七
FR00234,P0121,生物菌肥,生物肥料,63kg/亩,2025-03-12,孙八
FR00235,P0122,叶面肥,化学肥料,88kg/亩,2025-08-23,周九
FR00236,P0123,钾肥,化学肥料,64kg/亩,2025-06-11,吴十
FR00237,P0124,钾肥,化学肥料,62kg/亩,2025-08-24,王五
FR00238,P0124,氮肥,化学肥料,97kg/亩,2025-05-10,王五
FR00239,P0125,磷肥,化学肥料,53kg/亩,2025-03-16,钱七
FR00240,P0125,叶面肥,化学肥料,69kg/亩,2025-03-02,郑十一
FR00241,P0125,磷肥,化学肥料,92kg/亩,2025-03-17,李四
FR00242,P0126,复合肥,化学肥料,94kg/亩,2025-05-04,周九
FR00243,P0126,腐殖酸肥,有机肥料,92kg/亩,2025-08-23,王五
FR00244,P0126,叶面肥,化学肥料,78kg/亩,2025-05-23,陈十二
FR00245,P0127,生物菌肥,生物肥料,63kg/亩,2025-05-09,钱七
FR00246,P0128,有机肥,有机肥料,47kg/亩,2025-08-22,周九
FR00247,P0128,有机肥,有机肥料,48kg/亩,2025-04-01,吴十
FR00248,P0128,氮肥,化学肥料,53kg/亩,2025-05-28,赵六
FR00249,P0129,有机肥,有机肥料,74kg/亩,2025-07-11,李四
FR00250,P0129,磷肥,化学肥料,72kg/亩,2025-08-11,吴十
FR00251,P0129,钾肥,化学肥料,69kg/亩,2025-03-17,张三
FR00252,P0130,氮肥,化学肥料,60kg/亩,2025-08-18,郑十一
FR00253,P0130,腐殖酸肥,有机肥料,59kg/亩,2025-04-27,吴十
FR00254,P0131,复合肥,化学肥料,73kg/亩,2025-03-05,孙八
FR00255,P0132,复合肥,化学肥料,41kg/亩,2025-05-03,王五
FR00256,P0133,腐殖酸肥,有机肥料,43kg/亩,2025-03-27,王五
FR00257,P0133,钾肥,化学肥料,52kg/亩,2025-08-07,王五
FR00258,P0134,叶面肥,化学肥料,81kg/亩,2025-08-14,王五
FR00259,P0135,叶面肥,化学肥料,67kg/亩,2025-03-15,陈十二
FR00260,P0135,复合肥,化学肥料,51kg/亩,2025-04-27,吴十
FR00261,P0136,有机肥,有机肥料,69kg/亩,2025-07-12,张三
FR00262,P0136,磷肥,化学肥料,46kg/亩,2025-07-14,孙八
FR00263,P0136,有机肥,有机肥料,31kg/亩,2025-04-22,陈十二
FR00264,P0137,生物菌肥,生物肥料,68kg/亩,2025-04-07,钱七
FR00265,P0138,叶面肥,化学肥料,42kg/亩,2025-07-13,钱七
FR00266,P0138,生物菌肥,生物肥料,47kg/亩,2025-08-21,周九
FR00267,P0138,有机肥,有机肥料,32kg/亩,2025-07-05,钱七
FR00268,P0139,氮肥,化学肥料,98kg/亩,2025-03-16,郑十一
FR00269,P0140,磷肥,化学肥料,100kg/亩,2025-06-19,郑十一
FR00270,P0140,生物菌肥,生物肥料,41kg/亩,2025-07-03,吴十
FR00271,P0141,氮肥,化学肥料,92kg/亩,2025-07-12,郑十一
FR00272,P0141,叶面肥,化学肥料,57kg/亩,2025-07-28,孙八
FR00273,P0141,钾肥,化学肥料,71kg/亩,2025-06-03,张三
FR00274,P0142,生物菌肥,生物肥料,37kg/亩,2025-08-21,王五
FR00275,P0142,复合肥,化学肥料,62kg/亩,2025-05-08,赵六
FR00276,P0143,腐殖酸肥,有机肥料,48kg/亩,2025-06-05,张三
FR00277,P0144,氮肥,化学肥料,62kg/亩,2025-06-10,赵六
FR00278,P0144,钾肥,化学肥料,71kg/亩,2025-07-06,钱七
FR00279,P0145,复合肥,化学肥料,98kg/亩,2025-05-04,郑十一
FR00280,P0146,钾肥,化学肥料,94kg/亩,2025-07-14,孙八
FR00281,P0146,钾肥,化学肥料,36kg/亩,2025-07-12,郑十一
FR00282,P0146,复合肥,化学肥料,81kg/亩,2025-08-15,王五
FR00283,P0147,复合肥,化学肥料,98kg/亩,2025-06-21,陈十二
FR00284,P0147,有机肥,有机肥料,97kg/亩,2025-08-24,周九
FR00285,P0147,钾肥,化学肥料,54kg/亩,2025-04-15,张三
FR00286,P0148,生物菌肥,生物肥料,36kg/亩,2025-08-16,周九
FR00287,P0148,生物菌肥,生物肥料,49kg/亩,2025-08-10,陈十二
FR00288,P0148,生物菌肥,生物肥料,92kg/亩,2025-07-28,吴十
FR00289,P0149,钾肥,化学肥料,98kg/亩,2025-03-11,郑十一
FR00290,P0149,复合肥,化学肥料,97kg/亩,2025-07-05,吴十
FR00291,P0149,复合肥,化学肥料,52kg/亩,2025-04-22,李四
FR00292,P0150,钾肥,化学肥料,42kg/亩,2025-06-10,郑十一
FR00293,P0151,有机肥,有机肥料,98kg/亩,2025-03-11,赵六
FR00294,P0151,有机肥,有机肥料,92kg/亩,2025-07-10,钱七
FR00295,P0152,钾肥,化学肥料,65kg/亩,2025-07-07,王五
FR00296,P0153,生物菌肥,生物肥料,37kg/亩,2025-05-11,钱七
FR00297,P0153,叶面肥,化学肥料,44kg/亩,2025-06-17,李四
FR00298,P0154,氮肥,化学肥料,100kg/亩,2025-03-22,王五
FR00299,P0154,有机肥,有机肥料,87kg/亩,2025-04-27,张三
FR00300,P0155,有机肥,有机肥料,38kg/亩,2025-03-07,陈十二
FR00301,P0156,钾肥,化学肥料,99kg/亩,2025-03-24,张三
FR00302,P0156,生物菌肥,生物肥料,60kg/亩,2025-04-04,王五
FR00303,P0157,氮肥,化学肥料,35kg/亩,2025-07-24,孙八
FR00304,P0158,复合肥,化学肥料,45kg/亩,2025-06-07,张三
FR00305,P0158,复合肥,化学肥料,95kg/亩,2025-06-01,陈十二
FR00306,P0158,磷肥,化学肥料,70kg/亩,2025-05-05,王五
FR00307,P0159,氮肥,化学肥料,65kg/亩,2025-06-07,郑十一
FR00308,P0160,生物菌肥,生物肥料,86kg/亩,2025-08-03,赵六
FR00309,P0160,磷肥,化学肥料,35kg/亩,2025-04-07,周九
FR00310,P0160,钾肥,化学肥料,99kg/亩,2025-08-15,周九
FR00311,P0161,生物菌肥,生物肥料,91kg/亩,2025-03-15,吴十
FR00312,P0162,钾肥,化学肥料,66kg/亩,2025-03-05,王五
FR00313,P0162,有机肥,有机肥料,85kg/亩,2025-04-10,李四
FR00314,P0163,生物菌肥,生物肥料,71kg/亩,2025-07-13,李四
FR00315,P0164,腐殖酸肥,有机肥料,79kg/亩,2025-06-03,张三
FR00316,P0164,氮肥,化学肥料,56kg/亩,2025-05-13,钱七
FR00317,P0164,磷肥,化学肥料,57kg/亩,2025-05-12,郑十一
FR00318,P0165,生物菌肥,生物肥料,65kg/亩,2025-08-02,张三
FR00319,P0165,腐殖酸肥,有机肥料,31kg/亩,2025-06-14,郑十一
FR00320,P0166,磷肥,化学肥料,83kg/亩,2025-05-12,吴十
FR00321,P0167,生物菌肥,生物肥料,42kg/亩,2025-06-25,钱七
FR00322,P0167,复合肥,化学肥料,70kg/亩,2025-08-01,孙八
FR00323,P0168,钾肥,化学肥料,31kg/亩,2025-04-28,王五
FR00324,P0169,钾肥,化学肥料,31kg/亩,2025-05-23,王五
FR00325,P0170,氮肥,化学肥料,50kg/亩,2025-03-09,钱七
FR00326,P0170,有机肥,有机肥料,99kg/亩,2025-04-04,赵六
FR00327,P0170,有机肥,有机肥料,69kg/亩,2025-05-04,赵六
FR00328,P0171,磷肥,化学肥料,52kg/亩,2025-04-28,王五
FR00329,P0172,生物菌肥,生物肥料,80kg/亩,2025-06-20,周九
FR00330,P0172,有机肥,有机肥料,93kg/亩,2025-08-05,孙八
FR00331,P0173,生物菌肥,生物肥料,78kg/亩,2025-06-25,李四
FR00332,P0173,腐殖酸肥,有机肥料,51kg/亩,2025-03-11,周九
FR00333,P0173,叶面肥,化学肥料,34kg/亩,2025-05-14,陈十二
FR00334,P0174,叶面肥,化学肥料,94kg/亩,2025-03-12,孙八
FR00335,P0174,复合肥,化学肥料,49kg/亩,2025-06-17,王五
FR00336,P0174,有机肥,有机肥料,46kg/亩,2025-05-05,赵六
FR00337,P0175,氮肥,化学肥料,43kg/亩,2025-07-08,钱七
FR00338,P0176,磷肥,化学肥料,37kg/亩,2025-05-14,钱七
FR00339,P0176,生物菌肥,生物肥料,37kg/亩,2025-05-26,孙八
FR00340,P0176,氮肥,化学肥料,88kg/亩,2025-05-10,周九
FR00341,P0177,磷肥,化学肥料,60kg/亩,2025-07-09,陈十二
FR00342,P0177,钾肥,化学肥料,47kg/亩,2025-06-10,李四
FR00343,P0177,叶面肥,化学肥料,55kg/亩,2025-07-07,张三
FR00344,P0178,有机肥,有机肥料,95kg/亩,2025-08-04,张三
FR00345,P0178,腐殖酸肥,有机肥料,52kg/亩,2025-03-27,钱七
FR00346,P0179,钾肥,化学肥料,45kg/亩,2025-07-04,张三
FR00347,P0179,钾肥,化学肥料,58kg/亩,2025-03-14,周九
FR00348,P0180,叶面肥,化学肥料,37kg/亩,2025-06-08,周九
FR00349,P0181,磷肥,化学肥料,30kg/亩,2025-07-11,赵六
FR00350,P0181,氮肥,化学肥料,33kg/亩,2025-08-22,孙八
FR00351,P0181,生物菌肥,生物肥料,59kg/亩,2025-05-07,郑十一
FR00352,P0182,复合肥,化学肥料,42kg/亩,2025-06-08,张三
FR00353,P0182,生物菌肥,生物肥料,75kg/亩,2025-07-22,周九
FR00354,P0182,有机肥,有机肥料,40kg/亩,2025-03-25,孙八
FR00355,P0183,叶面肥,化学肥料,39kg/亩,2025-04-17,周九
FR00356,P0184,腐殖酸肥,有机肥料,85kg/亩,2025-03-19,吴十
FR00357,P0185,有机肥,有机肥料,100kg/亩,2025-03-04,王五
FR00358,P0185,钾肥,化学肥料,72kg/亩,2025-06-14,孙八
FR00359,P0186,有机肥,有机肥料,62kg/亩,2025-08-17,周九
FR00360,P0186,叶面肥,化学肥料,59kg/亩,2025-07-19,张三
FR00361,P0187,有机肥,有机肥料,40kg/亩,2025-05-03,赵六
