record_id,product_id,farm_name,farm_location,start_date,end_date,soil_ph,temperature_range,humidity_range,qualified
PL0054,P0054,浙江杭州茶园,浙江省杭州市,2025-03-08,2025-08-06,6.9,19-26℃,53-74%,true
PL0055,P0055,云南昆明花卉基地,云南省昆明市,2025-04-04,2025-07-20,7.4,19-35℃,57-81%,true
PL0056,P0056,黑龙江五常米业,黑龙江省五常市,2025-01-01,2025-06-08,7.1,17-33℃,60-80%,true
PL0057,P0057,四川成都蔬菜基地,四川省成都市,2025-03-09,2025-08-07,5.6,13-27℃,54-70%,true
PL0058,P0058,湖北武汉农业园,湖北省武汉市,2025-04-21,2025-07-05,7.0,17-28℃,61-76%,true
PL0059,P0059,湖北武汉农业园,湖北省武汉市,2025-02-15,2025-05-11,7.2,11-34℃,57-81%,true
PL0060,P0060,江西赣南脐橙园,江西省赣州市,2025-04-26,2025-09-13,6.1,16-29℃,63-88%,true
PL0061,P0061,陕西洛川苹果基地,陕西省洛川县,2025-01-14,2025-04-07,6.0,15-32℃,61-71%,true
PL0062,P0062,浙江杭州茶园,浙江省杭州市,2025-02-25,2025-04-16,7.5,14-29℃,53-76%,true
PL0063,P0063,陕西洛川苹果基地,陕西省洛川县,2025-03-28,2025-06-05,7.3,19-32℃,55-82%,true
PL0064,P0064,辽宁丹东草莓园,辽宁省丹东市,2025-01-19,2025-03-23,6.1,18-30℃,59-73%,true
PL0065,P0065,山东寿光绿色农场,山东省寿光市,2025-02-16,2025-05-03,7.1,11-30℃,64-73%,true
PL0066,P0066,云南昆明花卉基地,云南省昆明市,2025-02-07,2025-06-16,6.7,17-35℃,62-79%,true
PL0067,P0067,浙江杭州茶园,浙江省杭州市,2025-03-21,2025-08-16,5.5,13-25℃,63-84%,true
PL0068,P0068,陕西洛川苹果基地,陕西省洛川县,2025-03-11,2025-07-26,7.1,15-25℃,63-75%,true
PL0069,P0069,广西百色芒果园,广西百色市,2025-05-11,2025-07-18,6.2,20-30℃,53-70%,true
PL0070,P0070,陕西洛川苹果基地,陕西省洛川县,2025-04-24,2025-07-10,6.1,17-25℃,51-76%,true
PL0071,P0071,黑龙江五常米业,黑龙江省五常市,2025-06-10,2025-10-19,6.2,20-35℃,61-70%,true
PL0072,P0072,河南周口种植基地,河南省周口市,2025-03-03,2025-05-22,5.9,19-25℃,55-76%,true
PL0073,P0073,河北廊坊蔬菜基地,河北省廊坊市,2025-05-13,2025-08-23,6.3,18-28℃,56-78%,true
PL0074,P0074,湖北武汉农业园,湖北省武汉市,2025-02-23,2025-06-28,5.9,12-29℃,59-70%,true
PL0075,P0075,黑龙江五常米业,黑龙江省五常市,2025-02-16,2025-07-23,6.9,14-33℃,60-76%,true
PL0076,P0076,河北廊坊蔬菜基地,河北省廊坊市,2025-05-12,2025-10-13,7.2,20-27℃,58-90%,true
PL0077,P0077,黑龙江五常米业,黑龙江省五常市,2025-04-13,2025-06-15,5.8,12-33℃,50-73%,true
PL0078,P0078,四川成都蔬菜基地,四川省成都市,2025-03-06,2025-05-24,6.4,18-31℃,52-80%,true
PL0079,P0079,四川成都蔬菜基地,四川省成都市,2025-05-21,2025-07-14,7.4,14-29℃,57-80%,true
PL0080,P0080,山东潍坊蔬菜园,山东省潍坊市,2025-02-09,2025-05-03,6.1,16-35℃,52-78%,true
PL0081,P0081,河南周口种植基地,河南省周口市,2025-02-13,2025-07-05,6.4,20-34℃,59-81%,true
PL0082,P0082,辽宁丹东草莓园,辽宁省丹东市,2025-05-17,2025-10-19,6.8,16-27℃,50-86%,true
PL0083,P0083,江西赣南脐橙园,江西省赣州市,2025-04-18,2025-06-17,6.3,17-32℃,58-73%,true
PL0084,P0084,山东寿光绿色农场,山东省寿光市,2025-04-27,2025-06-24,6.3,15-25℃,60-81%,true
PL0085,P0085,四川成都蔬菜基地,四川省成都市,2025-04-13,2025-09-09,5.6,20-27℃,65-89%,true
PL0086,P0086,浙江杭州茶园,浙江省杭州市,2025-02-19,2025-05-28,6.5,13-32℃,58-89%,true
PL0087,P0087,山东潍坊蔬菜园,山东省潍坊市,2025-06-09,2025-08-26,6.4,14-35℃,56-74%,true
PL0088,P0088,内蒙古土豆农场,内蒙古乌兰察布,2025-06-19,2025-08-27,6.6,11-26℃,56-84%,true
PL0089,P0089,河北廊坊蔬菜基地,河北省廊坊市,2025-05-20,2025-10-14,6.1,17-25℃,63-88%,true
PL0090,P0090,陕西洛川苹果基地,陕西省洛川县,2025-06-28,2025-09-06,7.3,17-30℃,65-83%,true
PL0091,P0091,山东潍坊蔬菜园,山东省潍坊市,2025-05-16,2025-10-07,7.4,19-30℃,60-85%,true
PL0092,P0092,湖北武汉农业园,湖北省武汉市,2025-04-17,2025-07-05,6.5,14-30℃,65-78%,true
PL0093,P0093,山东寿光绿色农场,山东省寿光市,2025-04-12,2025-06-02,7.4,12-27℃,61-77%,true
PL0094,P0094,江西赣南脐橙园,江西省赣州市,2025-04-08,2025-06-02,6.7,19-25℃,52-90%,true
PL0095,P0095,山东潍坊蔬菜园,山东省潍坊市,2025-04-17,2025-07-15,7.4,12-29℃,56-74%,true
PL0096,P0096,云南昆明花卉基地,云南省昆明市,2025-04-12,2025-09-01,7.0,11-26℃,54-82%,true
PL0097,P0097,黑龙江五常米业,黑龙江省五常市,2025-05-12,2025-07-18,5.9,11-34℃,59-76%,true
PL0098,P0098,云南昆明花卉基地,云南省昆明市,2025-03-24,2025-07-26,5.7,10-31℃,59-72%,true
PL0099,P0099,内蒙古土豆农场,内蒙古乌兰察布,2025-03-26,2025-05-23,6.9,11-27℃,63-74%,true
PL0100,P0100,内蒙古土豆农场,内蒙古乌兰察布,2025-02-11,2025-06-16,7.2,13-26℃,50-88%,true
PL0101,P0101,山东寿光绿色农场,山东省寿光市,2025-02-03,2025-07-21,5.9,20-25℃,59-75%,true
PL0102,P0102,山东潍坊蔬菜园,山东省潍坊市,2025-01-02,2025-04-04,6.6,14-33℃,53-75%,true
PL0103,P0103,陕西洛川苹果基地,陕西省洛川县,2025-01-04,2025-06-08,6.2,20-25℃,56-88%,true
PL0104,P0104,云南昆明花卉基地,云南省昆明市,2025-05-23,2025-10-28,7.0,11-31℃,51-79%,true
PL0105,P0105,四川成都蔬菜基地,四川省成都市,2025-01-02,2025-04-27,6.0,16-32℃,64-86%,true
PL0106,P0106,四川成都蔬菜基地,四川省成都市,2025-02-01,2025-05-04,6.8,11-33℃,61-71%,true
PL0107,P0107,河北廊坊蔬菜基地,河北省廊坊市,2025-05-18,2025-08-14,7.4,12-32℃,57-78%,true
PL0108,P0108,河北廊坊蔬菜基地,河北省廊坊市,2025-06-15,2025-09-01,6.3,16-33℃,61-89%,true
PL0109,P0109,江西赣南脐橙园,江西省赣州市,2025-06-15,2025-11-05,7.2,14-27℃,64-84%,true
PL0110,P0110,内蒙古土豆农场,内蒙古乌兰察布,2025-05-26,2025-08-10,5.9,11-28℃,50-90%,true
PL0111,P0111,黑龙江五常米业,黑龙江省五常市,2025-03-03,2025-08-27,6.0,16-29℃,60-73%,true
PL0112,P0112,新疆吐鲁番葡萄园,新疆吐鲁番市,2025-05-06,2025-10-07,7.0,16-26℃,65-83%,true
PL0113,P0113,陕西洛川苹果基地,陕西省洛川县,2025-03-01,2025-06-16,6.3,15-30℃,59-70%,true
PL0114,P0114,四川成都蔬菜基地,四川省成都市,2025-05-10,2025-10-24,5.6,14-26℃,51-87%,true
PL0115,P0115,山东寿光绿色农场,山东省寿光市,2025-05-06,2025-08-21,7.0,20-33℃,56-79%,true
PL0116,P0116,河南周口种植基地,河南省周口市,2025-06-23,2025-10-17,6.1,19-35℃,55-90%,true
PL0117,P0117,浙江杭州茶园,浙江省杭州市,2025-02-14,2025-06-23,5.7,17-31℃,59-74%,true
PL0118,P0118,广西百色芒果园,广西百色市,2025-05-24,2025-09-17,6.8,18-27℃,50-81%,true
PL0119,P0119,辽宁丹东草莓园,辽宁省丹东市,2025-03-10,2025-08-20,7.2,14-28℃,52-87%,true
PL0120,P0120,黑龙江五常米业,黑龙江省五常市,2025-05-21,2025-07-15,7.0,20-29℃,61-84%,true
PL0121,P0121,山东寿光绿色农场,山东省寿光市,2025-02-16,2025-05-27,6.2,11-26℃,56-87%,true
PL0122,P0122,云南昆明花卉基地,云南省昆明市,2025-06-13,2025-08-18,6.5,14-35℃,53-70%,true
PL0123,P0123,山东潍坊蔬菜园,山东省潍坊市,2025-06-22,2025-11-24,6.5,11-35℃,52-73%,true
PL0124,P0124,湖北武汉农业园,湖北省武汉市,2025-02-05,2025-07-28,6.4,18-30℃,57-81%,true
PL0125,P0125,湖北武汉农业园,湖北省武汉市,2025-04-08,2025-09-06,6.0,11-27℃,52-83%,true
PL0126,P0126,广西百色芒果园,广西百色市,2025-06-27,2025-08-20,7.0,18-30℃,50-87%,true
PL0127,P0127,河北廊坊蔬菜基地,河北省廊坊市,2025-04-26,2025-09-28,7.2,11-26℃,57-78%,true
PL0128,P0128,浙江杭州茶园,浙江省杭州市,2025-05-24,2025-07-13,7.1,14-27℃,53-72%,true
PL0129,P0129,新疆吐鲁番葡萄园,新疆吐鲁番市,2025-01-06,2025-05-20,6.0,10-34℃,51-76%,true
PL0130,P0130,辽宁丹东草莓园,辽宁省丹东市,2025-03-12,2025-07-28,6.2,19-26℃,51-75%,true
PL0131,P0131,云南昆明花卉基地,云南省昆明市,2025-06-02,2025-09-18,6.9,15-34℃,60-74%,true
PL0132,P0132,广西百色芒果园,广西百色市,2025-05-20,2025-07-27,5.7,16-33℃,62-70%,true
PL0133,P0133,云南昆明花卉基地,云南省昆明市,2025-03-12,2025-06-26,5.5,19-35℃,65-87%,true
PL0134,P0134,内蒙古土豆农场,内蒙古乌兰察布,2025-01-03,2025-05-21,7.0,19-30℃,58-74%,true
PL0135,P0135,新疆吐鲁番葡萄园,新疆吐鲁番市,2025-03-17,2025-07-23,7.3,16-27℃,61-71%,true
PL0136,P0136,河南周口种植基地,河南省周口市,2025-04-20,2025-06-07,7.5,13-34℃,50-71%,true
PL0137,P0137,河北廊坊蔬菜基地,河北省廊坊市,2025-05-27,2025-09-17,7.1,11-30℃,60-81%,true
PL0138,P0138,江西赣南脐橙园,江西省赣州市,2025-03-16,2025-07-22,5.7,18-26℃,62-72%,true
PL0139,P0139,河北廊坊蔬菜基地,河北省廊坊市,2025-06-24,2025-10-24,6.6,12-32℃,61-84%,true
PL0140,P0140,云南昆明花卉基地,云南省昆明市,2025-02-16,2025-06-02,6.7,20-25℃,53-90%,true
PL0141,P0141,河北廊坊蔬菜基地,河北省廊坊市,2025-05-16,2025-08-23,6.3,12-27℃,65-83%,true
PL0142,P0142,山东潍坊蔬菜园,山东省潍坊市,2025-01-24,2025-05-27,7.2,11-29℃,57-78%,true
PL0143,P0143,山东潍坊蔬菜园,山东省潍坊市,2025-02-18,2025-06-24,5.6,10-27℃,62-80%,true
PL0144,P0144,新疆吐鲁番葡萄园,新疆吐鲁番市,2025-06-03,2025-08-03,6.8,15-26℃,55-89%,true
PL0145,P0145,云南昆明花卉基地,云南省昆明市,2025-02-17,2025-06-12,7.5,18-30℃,55-79%,true
PL0146,P0146,山东寿光绿色农场,山东省寿光市,2025-05-28,2025-08-09,5.7,16-32℃,59-89%,true
PL0147,P0147,四川成都蔬菜基地,四川省成都市,2025-06-02,2025-08-23,6.7,18-25℃,56-78%,true
PL0148,P0148,河南周口种植基地,河南省周口市,2025-05-12,2025-10-14,6.7,14-30℃,61-72%,true
PL0149,P0149,湖北武汉农业园,湖北省武汉市,2025-04-11,2025-06-07,7.3,12-29℃,55-85%,true
PL0150,P0150,云南昆明花卉基地,云南省昆明市,2025-02-23,2025-05-11,6.8,15-26℃,59-86%,true
PL0151,P0151,河北廊坊蔬菜基地,河北省廊坊市,2025-04-04,2025-06-19,5.5,11-30℃,51-73%,true
PL0152,P0152,黑龙江五常米业,黑龙江省五常市,2025-05-13,2025-10-02,6.3,19-25℃,51-85%,true
PL0153,P0153,广西百色芒果园,广西百色市,2025-02-20,2025-04-15,7.4,15-29℃,62-81%,true
PL0154,P0154,河南周口种植基地,河南省周口市,2025-06-09,2025-08-03,6.4,11-34℃,54-76%,true
PL0155,P0155,辽宁丹东草莓园,辽宁省丹东市,2025-02-17,2025-04-28,6.9,19-27℃,51-71%,true
PL0156,P0156,山东寿光绿色农场,山东省寿光市,2025-04-17,2025-08-22,6.5,11-27℃,60-71%,true
PL0157,P0157,河北廊坊蔬菜基地,河北省廊坊市,2025-05-07,2025-09-16,5.8,16-28℃,62-86%,true
PL0158,P0158,云南昆明花卉基地,云南省昆明市,2025-06-21,2025-08-09,5.9,19-34℃,52-78%,true
PL0159,P0159,黑龙江五常米业,黑龙江省五常市,2025-01-03,2025-06-13,6.3,20-27℃,52-80%,true
PL0160,P0160,陕西洛川苹果基地,陕西省洛川县,2025-04-12,2025-06-01,6.4,14-33℃,65-83%,true
PL0161,P0161,四川成都蔬菜基地,四川省成都市,2025-02-15,2025-07-15,5.9,12-32℃,60-83%,true
PL0162,P0162,新疆吐鲁番葡萄园,新疆吐鲁番市,2025-05-02,2025-10-13,7.1,12-31℃,52-77%,true
PL0163,P0163,黑龙江五常米业,黑龙江省五常市,2025-03-20,2025-07-24,6.3,13-25℃,61-88%,true
PL0164,P0164,四川成都蔬菜基地,四川省成都市,2025-05-18,2025-07-25,6.4,16-30℃,53-81%,true
PL0165,P0165,陕西洛川苹果基地,陕西省洛川县,2025-05-11,2025-09-03,7.3,12-29℃,61-89%,true
PL0166,P0166,陕西洛川苹果基地,陕西省洛川县,2025-05-15,2025-08-26,5.8,12-25℃,55-81%,true
PL0167,P0167,湖北武汉农业园,湖北省武汉市,2025-01-06,2025-04-06,6.6,12-34℃,57-80%,true
PL0168,P0168,黑龙江五常米业,黑龙江省五常市,2025-02-23,2025-05-19,6.6,20-31℃,56-80%,true
PL0169,P0169,辽宁丹东草莓园,辽宁省丹东市,2025-01-19,2025-06-24,5.8,16-30℃,59-77%,true
PL0170,P0170,湖北武汉农业园,湖北省武汉市,2025-03-24,2025-08-08,6.3,19-29℃,55-87%,true
PL0171,P0171,山东潍坊蔬菜园,山东省潍坊市,2025-06-21,2025-08-02,7.1,12-30℃,55-86%,true
PL0172,P0172,江西赣南脐橙园,江西省赣州市,2025-06-09,2025-09-15,6.0,20-29℃,50-87%,true
PL0173,P0173,湖北武汉农业园,湖北省武汉市,2025-01-05,2025-03-11,6.9,16-35℃,53-84%,true
PL0174,P0174,山东潍坊蔬菜园,山东省潍坊市,2025-05-10,2025-08-18,6.1,10-33℃,50-85%,true
PL0175,P0175,浙江杭州茶园,浙江省杭州市,2025-06-20,2025-10-14,6.4,12-25℃,65-79%,true
PL0176,P0176,河北廊坊蔬菜基地,河北省廊坊市,2025-06-02,2025-09-17,5.8,10-34℃,59-70%,true
PL0177,P0177,河南周口种植基地,河南省周口市,2025-03-08,2025-05-02,6.5,19-25℃,54-80%,true
PL0178,P0178,陕西洛川苹果基地,陕西省洛川县,2025-05-18,2025-09-24,7.4,10-33℃,56-87%,true
PL0179,P0179,四川成都蔬菜基地,四川省成都市,2025-05-15,2025-07-04,6.4,18-32℃,57-78%,true
PL0180,P0180,河北廊坊蔬菜基地,河北省廊坊市,2025-04-21,2025-07-21,6.0,20-26℃,59-75%,true
PL0181,P0181,河北廊坊蔬菜基地,河北省廊坊市,2025-03-03,2025-08-14,5.9,15-35℃,63-88%,true
PL0182,P0182,山东寿光绿色农场,山东省寿光市,2025-05-14,2025-10-03,6.9,19-32℃,61-78%,true
PL0183,P0183,浙江杭州茶园,浙江省杭州市,2025-03-21,2025-05-10,5.6,11-26℃,50-84%,true
PL0184,P0184,山东潍坊蔬菜园,山东省潍坊市,2025-02-16,2025-06-12,6.6,20-35℃,56-76%,true
PL0185,P0185,陕西洛川苹果基地,陕西省洛川县,2025-03-28,2025-05-11,7.2,18-33℃,54-83%,true
PL0186,P0186,浙江杭州茶园,浙江省杭州市,2025-04-08,2025-09-14,5.6,17-34℃,57-74%,true
PL0187,P0187,黑龙江五常米业,黑龙江省五常市,2025-06-11,2025-11-16,5.7,12-28℃,52-78%,true
PL0188,P0188,浙江杭州茶园,浙江省杭州市,2025-01-13,2025-04-09,6.2,20-26℃,53-72%,true
PL0189,P0189,广西百色芒果园,广西百色市,2025-03-24,2025-08-03,7.1,16-29℃,65-87%,true
PL0190,P0190,湖北武汉农业园,湖北省武汉市,2025-06-21,2025-10-21,6.1,15-35℃,56-76%,true
PL0191,P0191,广西百色芒果园,广西百色市,2025-05-06,2025-10-12,5.9,12-31℃,53-80%,true
PL0192,P0192,湖北武汉农业园,湖北省武汉市,2025-05-17,2025-09-14,7.2,14-27℃,61-89%,true
PL0193,P0193,黑龙江五常米业,黑龙江省五常市,2025-04-08,2025-09-21,6.0,13-30℃,63-81%,true
PL0194,P0194,浙江杭州茶园,浙江省杭州市,2025-06-23,2025-10-02,6.1,12-31℃,53-80%,true
PL0195,P0195,辽宁丹东草莓园,辽宁省丹东市,2025-06-08,2025-09-23,6.9,14-31℃,53-86%,true
PL0196,P0196,黑龙江五常米业,黑龙江省五常市,2025-04-08,2025-08-07,5.8,16-32℃,53-85%,true
PL0197,P0197,浙江杭州茶园,浙江省杭州市,2025-04-02,2025-07-14,6.4,11-32℃,64-85%,false
PL0198,P0198,湖北武汉农业园,湖北省武汉市,2025-02-01,2025-05-19,6.7,18-31℃,56-72%,true
PL0199,P0199,新疆吐鲁番葡萄园,新疆吐鲁番市,2025-03-15,2025-08-03,7.1,10-33℃,56-71%,true
PL0200,P0200,新疆吐鲁番葡萄园,新疆吐鲁番市,2025-03-11,2025-06-19,5.5,11-35℃,59-73%,true
PL0201,P0201,山东寿光绿色农场,山东省寿光市,2025-04-04,2025-08-19,7.1,20-33℃,56-79%,true
PL0202,P0202,陕西洛川苹果基地,陕西省洛川县,2025-04-17,2025-08-06,7.5,16-35℃,60-74%,true
PL0203,P0203,河北廊坊蔬菜基地,河北省廊坊市,2025-06-06,2025-09-06,5.8,14-26℃,52-82%,true
PL0204,P0204,内蒙古土豆农场,内蒙古乌兰察布,2025-05-22,2025-09-09,5.7,16-28℃,64-73%,true
PL0205,P0205,江西赣南脐橙园,江西省赣州市,2025-01-20,2025-06-12,6.6,19-35℃,61-75%,true
PL0206,P0206,陕西洛川苹果基地,陕西省洛川县,2025-06-27,2025-11-09,6.2,20-26℃,54-73%,true
PL0207,P0207,山东寿光绿色农场,山东省寿光市,2025-02-14,2025-05-10,5.8,19-28℃,52-83%,true
PL0208,P0208,河北廊坊蔬菜基地,河北省廊坊市,2025-02-02,2025-07-02,6.8,18-28℃,62-72%,true
PL0209,P0209,内蒙古土豆农场,内蒙古乌兰察布,2025-05-18,2025-09-20,7.5,11-35℃,51-74%,true
PL0210,P0210,内蒙古土豆农场,内蒙古乌兰察布,2025-03-28,2025-06-12,6.8,20-35℃,64-77%,true
PL0211,P0211,广西百色芒果园,广西百色市,2025-04-27,2025-07-01,6.9,14-33℃,50-72%,true
PL0212,P0212,河南周口种植基地,河南省周口市,2025-04-17,2025-08-05,5.7,17-33℃,63-77%,true
PL0213,P0213,山东潍坊蔬菜园,山东省潍坊市,2025-04-14,2025-09-01,6.7,12-32℃,62-71%,true
PL0214,P0214,辽宁丹东草莓园,辽宁省丹东市,2025-04-23,2025-06-17,6.0,14-28℃,54-80%,true
PL0215,P0215,湖北武汉农业园,湖北省武汉市,2025-02-03,2025-07-16,7.5,15-30℃,63-90%,true
PL0216,P0216,黑龙江五常米业,黑龙江省五常市,2025-01-13,2025-04-01,5.8,19-25℃,62-78%,true
PL0217,P0217,山东潍坊蔬菜园,山东省潍坊市,2025-04-13,2025-07-05,5.6,20-35℃,61-85%,true
PL0218,P0218,陕西洛川苹果基地,陕西省洛川县,2025-03-26,2025-08-08,6.1,10-25℃,59-72%,true
PL0219,P0219,四川成都蔬菜基地,四川省成都市,2025-03-11,2025-05-09,7.1,17-32℃,52-72%,true
PL0220,P0220,山东潍坊蔬菜园,山东省潍坊市,2025-05-19,2025-10-06,5.6,12-27℃,60-89%,true
PL0221,P0221,陕西洛川苹果基地,陕西省洛川县,2025-03-17,2025-08-28,5.8,11-26℃,56-83%,true
PL0222,P0222,内蒙古土豆农场,内蒙古乌兰察布,2025-03-22,2025-06-20,6.2,18-28℃,65-77%,true
PL0223,P0223,河南周口种植基地,河南省周口市,2025-03-09,2025-08-19,5.9,10-26℃,60-87%,true
PL0224,P0224,山东潍坊蔬菜园,山东省潍坊市,2025-05-26,2025-08-05,5.6,11-30℃,61-71%,true
PL0225,P0225,内蒙古土豆农场,内蒙古乌兰察布,2025-03-02,2025-06-17,6.3,17-35℃,65-90%,true
PL0226,P0226,辽宁丹东草莓园,辽宁省丹东市,2025-04-17,2025-06-09,5.5,13-28℃,65-89%,false
PL0227,P0227,山东潍坊蔬菜园,山东省潍坊市,2025-06-16,2025-11-06,6.6,20-34℃,54-81%,true
PL0228,P0228,江西赣南脐橙园,江西省赣州市,2025-01-27,2025-04-19,6.4,12-27℃,62-72%,true
PL0229,P0229,内蒙古土豆农场,内蒙古乌兰察布,2025-06-23,2025-09-07,7.4,16-29℃,53-86%,true
PL0230,P0230,浙江杭州茶园,浙江省杭州市,2025-03-04,2025-06-16,7.0,17-28℃,50-81%,true
