warning_id,product_id,warning_level,warning_type,problem_stage,description,create_time,status
WR0065,P0186,medium,运输温度异常,运输环节,运输过程中温度超出5-15℃范围,2025-10-26 13:00:00,processing
WR0066,P0200,medium,运输温度异常,运输环节,运输过程中温度超出0-4℃范围,2025-11-27 15:00:00,processing
WR0067,P0203,medium,运输温度异常,运输环节,运输过程中温度超出0-4℃范围,2025-09-26 18:00:00,processing
WR0068,P0216,medium,运输温度异常,运输环节,运输过程中温度超出0-4℃范围,2025-07-26 17:00:00,processing
WR0069,P0248,medium,运输温度异常,运输环节,运输过程中温度超出2-8℃范围,2025-07-28 17:00:00,processing
WR0070,P0258,medium,运输温度异常,运输环节,运输过程中温度超出0-4℃范围,2025-08-26 17:00:00,processing
WR0071,P0304,medium,运输温度异常,运输环节,运输过程中温度超出2-8℃范围,2025-09-26 14:00:00,processing
WR0072,P0314,medium,运输温度异常,运输环节,运输过程中温度超出2-8℃范围,2025-10-27 13:00:00,pending
WR0073,P0406,medium,运输温度异常,运输环节,运输过程中温度超出2-8℃范围,2025-11-26 18:00:00,processing
WR0074,P0439,medium,运输温度异常,运输环节,运输过程中温度超出0-5℃范围,2025-09-27 12:00:00,pending
WR0075,P0464,medium,运输温度异常,运输环节,运输过程中温度超出常温范围,2025-08-28 10:00:00,processing
WR0076,P0470,medium,运输温度异常,运输环节,运输过程中温度超出2-8℃范围,2025-08-28 16:00:00,resolved
WR0077,P0486,medium,运输温度异常,运输环节,运输过程中温度超出0-4℃范围,2025-11-26 09:00:00,processing
WR0078,P0503,medium,运输温度异常,运输环节,运输过程中温度超出常温范围,2025-08-28 17:00:00,processing
WR0079,P0508,medium,运输温度异常,运输环节,运输过程中温度超出常温范围,2025-07-27 08:00:00,resolved
WR0080,P0543,medium,运输温度异常,运输环节,运输过程中温度超出0-5℃范围,2025-07-27 18:00:00,resolved
WR0081,P0547,medium,运输温度异常,运输环节,运输过程中温度超出2-8℃范围,2025-07-26 15:00:00,pending
WR0082,P0568,medium,运输温度异常,运输环节,运输过程中温度超出0-4℃范围,2025-11-28 16:00:00,processing
WR0083,P0596,medium,运输温度异常,运输环节,运输过程中温度超出常温范围,2025-09-28 09:00:00,pending
WR0084,P0664,medium,运输温度异常,运输环节,运输过程中温度超出0-5℃范围,2025-09-27 10:00:00,pending
WR0085,P0665,medium,运输温度异常,运输环节,运输过程中温度超出常温范围,2025-11-27 12:00:00,resolved
WR0086,P0667,medium,运输温度异常,运输环节,运输过程中温度超出2-8℃范围,2025-09-26 15:00:00,pending
WR0087,P0708,medium,运输温度异常,运输环节,运输过程中温度超出0-5℃范围,2025-08-27 10:00:00,resolved
WR0088,P0709,medium,运输温度异常,运输环节,运输过程中温度超出5-15℃范围,2025-09-28 18:00:00,processing
WR0089,P0725,medium,运输温度异常,运输环节,运输过程中温度超出0-4℃范围,2025-10-26 13:00:00,resolved
WR0090,P0740,medium,运输温度异常,运输环节,运输过程中温度超出0-4℃范围,2025-09-26 15:00:00,pending
WR0091,P0766,medium,运输温度异常,运输环节,运输过程中温度超出5-15℃范围,2025-09-28 11:00:00,resolved
WR0092,P0777,medium,运输温度异常,运输环节,运输过程中温度超出2-8℃范围,2025-11-26 13:00:00,processing
WR0093,P0813,medium,运输温度异常,运输环节,运输过程中温度超出2-8℃范围,2025-07-26 16:00:00,pending
WR0094,P0828,medium,运输温度异常,运输环节,运输过程中温度超出0-5℃范围,2025-07-27 10:00:00,resolved
WR0095,P0860,medium,运输温度异常,运输环节,运输过程中温度超出2-8℃范围,2025-09-27 10:00:00,pending
WR0096,P0896,medium,运输温度异常,运输环节,运输过程中温度超出5-15℃范围,2025-09-28 16:00:00,pending
WR0097,P0897,medium,运输温度异常,运输环节,运输过程中温度超出5-15℃范围,2025-09-28 13:00:00,processing
WR0098,P0968,medium,运输温度异常,运输环节,运输过程中温度超出0-4℃范围,2025-09-27 10:00:00,processing
WR0099,P1007,medium,运输温度异常,运输环节,运输过程中温度超出2-8℃范围,2025-07-28 14:00:00,pending
WR0100,P1042,medium,运输温度异常,运输环节,运输过程中温度超出0-4℃范围,2025-09-28 09:00:00,processing
WR0101,P1094,medium,运输温度异常,运输环节,运输过程中温度超出0-5℃范围,2025-10-27 17:00:00,processing
WR0102,P1138,medium,运输温度异常,运输环节,运输过程中温度超出0-5℃范围,2025-07-27 17:00:00,resolved
WR0103,P1160,medium,运输温度异常,运输环节,运输过程中温度超出0-5℃范围,2025-11-26 18:00:00,processing
WR0104,P1195,medium,运输温度异常,运输环节,运输过程中温度超出常温范围,2025-10-26 16:00:00,pending
